Site,Latitude,Longitude,target,seasonal_naive,harmonic_regression,last_slope_hold
Bedrock,66.254,-150.71099999999998,soil_temperature_0_to_7cm,6.047659367156792,4.909917342115804,13.022900308084068
Bedrock,66.254,-150.71099999999998,soil_moisture_0_to_7cm,0.05628050140570322,0.045755093922449495,0.09897765411323872
Bedrock,66.254,-150.62099999999998,soil_temperature_0_to_7cm,4.199901298973317,4.226938586559807,21.66842214160093
Bedrock,66.254,-150.62099999999998,soil_moisture_0_to_7cm,0.05159074543562073,0.04090403593815832,0.18599855583044908
Bedrock,66.254,-150.53099999999998,soil_temperature_0_to_7cm,5.577345989636997,5.017053265095634,11.338170694216233
Bedrock,66.254,-150.53099999999998,soil_moisture_0_to_7cm,0.05414189324821778,0.04170485534682367,0.10614814975537594
Bedrock,66.254,-150.44099999999997,soil_temperature_0_to_7cm,5.339122540859935,4.692891811772751,10.12654607265828
Bedrock,66.254,-150.44099999999997,soil_moisture_0_to_7cm,0.06516885512986757,0.04983666284341415,0.212457427938009
Bedrock,66.254,-150.351,soil_temperature_0_to_7cm,4.5925602119188405,4.09603211932399,11.808353682027311
Bedrock,66.254,-150.351,soil_moisture_0_to_7cm,0.05294178753647745,0.05345449716848106,0.05112079216138117
Bedrock,66.254,-150.261,soil_temperature_0_to_7cm,4.871421157001658,4.383479948223292,12.60470751232424
Bedrock,66.254,-150.261,soil_moisture_0_to_7cm,0.05640965662247014,0.047928343586509506,0.06418216962509694
Bedrock,66.254,-150.171,soil_temperature_0_to_7cm,4.988340386267632,4.733178217413588,14.56427771188438
Bedrock,66.254,-150.171,soil_moisture_0_to_7cm,0.06364648767866352,0.052398898661168036,0.21534284175154153
Bedrock,66.254,-150.081,soil_temperature_0_to_7cm,3.7417948664340237,3.3898766608035977,13.83167787963242
Bedrock,66.254,-150.081,soil_moisture_0_to_7cm,0.04854555801611784,0.048361307322433204,0.1914698950157176
Bedrock,66.34400000000001,-150.71099999999998,soil_temperature_0_to_7cm,6.047659367156792,4.909917342115804,13.022900308084068
Bedrock,66.34400000000001,-150.71099999999998,soil_moisture_0_to_7cm,0.05628050140570322,0.045755093922449495,0.09897765411323872
Bedrock,66.34400000000001,-150.62099999999998,soil_temperature_0_to_7cm,5.97499794864488,4.402158215873001,31.152222332620006
Bedrock,66.34400000000001,-150.62099999999998,soil_moisture_0_to_7cm,0.05393908858100883,0.0458198332371148,0.06735865875501298
Bedrock,66.34400000000001,-150.53099999999998,soil_temperature_0_to_7cm,5.577345989636997,5.017053265095634,11.338170694216233
Bedrock,66.34400000000001,-150.53099999999998,soil_moisture_0_to_7cm,0.05414189324821778,0.04170485534682367,0.10614814975537594
Bedrock,66.34400000000001,-150.44099999999997,soil_temperature_0_to_7cm,5.339122587271416,4.692891831936483,10.12654624016673
Bedrock,66.34400000000001,-150.44099999999997,soil_moisture_0_to_7cm,0.06516885512986757,0.04983666284341415,0.212457427938009
Bedrock,66.34400000000001,-150.351,soil_temperature_0_to_7cm,5.354816806238907,4.3789186172185275,29.61179148203725
Bedrock,66.34400000000001,-150.351,soil_moisture_0_to_7cm,0.05248357131832955,0.044254654539338585,0.13373155903974562
Bedrock,66.34400000000001,-150.261,soil_temperature_0_to_7cm,4.988340366868028,4.733178200934674,14.564277683850186
Bedrock,66.34400000000001,-150.261,soil_moisture_0_to_7cm,0.06364648767866352,0.052398898661168036,0.21534284175154153
Bedrock,66.34400000000001,-150.171,soil_temperature_0_to_7cm,4.988340366868028,4.733178200934674,14.564277683850186
Bedrock,66.34400000000001,-150.171,soil_moisture_0_to_7cm,0.06364648767866352,0.052398898661168036,0.21534284175154153
Bedrock,66.34400000000001,-150.081,soil_temperature_0_to_7cm,4.434591426451501,4.223574743488326,9.064419388978129
Bedrock,66.34400000000001,-150.081,soil_moisture_0_to_7cm,0.0622413421764229,0.052966678821236714,0.1485883809390357
Bedrock,66.434,-150.71099999999998,soil_temperature_0_to_7cm,5.974997910284375,4.402158209847976,31.152221547615625
Bedrock,66.434,-150.71099999999998,soil_moisture_0_to_7cm,0.05393908858100883,0.0458198332371148,0.06735865875501298
Bedrock,66.434,-150.62099999999998,soil_temperature_0_to_7cm,5.974997926408571,4.4021582223622975,31.15222178915933
Bedrock,66.434,-150.62099999999998,soil_moisture_0_to_7cm,0.05393908858100883,0.0458198332371148,0.06735865875501298
Bedrock,66.434,-150.53099999999998,soil_temperature_0_to_7cm,5.862894663306441,4.399172940904472,32.299583687961054
Bedrock,66.434,-150.53099999999998,soil_moisture_0_to_7cm,0.05337230393256289,0.03898957297527742,0.1856744145462522
Bedrock,66.434,-150.44099999999997,soil_temperature_0_to_7cm,5.862894691097294,4.3991729703886975,32.299583772198346
Bedrock,66.434,-150.44099999999997,soil_moisture_0_to_7cm,0.05337230393256289,0.03898957297527742,0.1856744145462522
Bedrock,66.434,-150.351,soil_temperature_0_to_7cm,5.354816806238907,4.3789186172185275,29.61179148203725
Bedrock,66.434,-150.351,soil_moisture_0_to_7cm,0.05248357131832955,0.044254654539338585,0.13373155903974562
Bedrock,66.434,-150.261,soil_temperature_0_to_7cm,4.777519708207152,3.7547388508473536,25.449609849004116
Bedrock,66.434,-150.261,soil_moisture_0_to_7cm,0.04924727812295779,0.03406586948448693,0.20173009570915834
Bedrock,66.434,-150.171,soil_temperature_0_to_7cm,4.434591443314321,4.223574742999173,9.06441924136626
Bedrock,66.434,-150.171,soil_moisture_0_to_7cm,0.0622413421764229,0.052966678821236714,0.1485883809390357
Bedrock,66.434,-150.081,soil_temperature_0_to_7cm,3.7852307296930294,3.974315013434832,16.049318789132986
Bedrock,66.434,-150.081,soil_moisture_0_to_7cm,0.04960844936650508,0.04295440333982377,0.1055930189040609
Bedrock,66.524,-150.71099999999998,soil_temperature_0_to_7cm,5.113301230053744,4.408984609044301,10.213714894555169
Bedrock,66.524,-150.71099999999998,soil_moisture_0_to_7cm,0.05512656705068685,0.04593980319872815,0.12070465077968259
Bedrock,66.524,-150.62099999999998,soil_temperature_0_to_7cm,6.10294129021038,5.3125015633883566,14.248962506081092
Bedrock,66.524,-150.62099999999998,soil_moisture_0_to_7cm,0.06664163137322265,0.06137325036224317,0.059330658721022764
