Model,Target,Tier,Val_R2,std_test_seen_R2,std_test_seen_KGE,std_test_seen_ubRMSE,std_test_seen_FreezeAcc,std_test_seen_DTW,std_test_seen_N,std_test_seen_CRPS,std_test_seen_NLL,std_test_seen_KL_Div,std_test_unseen_R2,std_test_unseen_KGE,std_test_unseen_ubRMSE,std_test_unseen_FreezeAcc,std_test_unseen_DTW,std_test_unseen_N,std_test_unseen_CRPS,std_test_unseen_NLL,std_test_unseen_KL_Div,std_test_all_R2,std_test_all_KGE,std_test_all_ubRMSE,std_test_all_FreezeAcc,std_test_all_DTW,std_test_all_N,std_test_all_CRPS,std_test_all_NLL,std_test_all_KL_Div,std_test_spatial_gap,std_test_inference_s,unseen_space_seen_R2,unseen_space_seen_KGE,unseen_space_seen_ubRMSE,unseen_space_seen_FreezeAcc,unseen_space_seen_DTW,unseen_space_seen_N,unseen_space_seen_CRPS,unseen_space_seen_NLL,unseen_space_seen_KL_Div,unseen_space_unseen_R2,unseen_space_unseen_KGE,unseen_space_unseen_ubRMSE,unseen_space_unseen_FreezeAcc,unseen_space_unseen_DTW,unseen_space_unseen_N,unseen_space_unseen_CRPS,unseen_space_unseen_NLL,unseen_space_unseen_KL_Div,unseen_space_all_R2,unseen_space_all_KGE,unseen_space_all_ubRMSE,unseen_space_all_FreezeAcc,unseen_space_all_DTW,unseen_space_all_N,unseen_space_all_CRPS,unseen_space_all_NLL,unseen_space_all_KL_Div,unseen_space_spatial_gap,unseen_space_inference_s,unseen_time_seen_R2,unseen_time_seen_KGE,unseen_time_seen_ubRMSE,unseen_time_seen_FreezeAcc,unseen_time_seen_DTW,unseen_time_seen_N,unseen_time_seen_CRPS,unseen_time_seen_NLL,unseen_time_seen_KL_Div,unseen_time_unseen_R2,unseen_time_unseen_KGE,unseen_time_unseen_ubRMSE,unseen_time_unseen_FreezeAcc,unseen_time_unseen_DTW,unseen_time_unseen_N,unseen_time_unseen_CRPS,unseen_time_unseen_NLL,unseen_time_unseen_KL_Div,unseen_time_all_R2,unseen_time_all_KGE,unseen_time_all_ubRMSE,unseen_time_all_FreezeAcc,unseen_time_all_DTW,unseen_time_all_N,unseen_time_all_CRPS,unseen_time_all_NLL,unseen_time_all_KL_Div,unseen_time_spatial_gap,unseen_time_inference_s,unseen_both_seen_R2,unseen_both_seen_KGE,unseen_both_seen_ubRMSE,unseen_both_seen_FreezeAcc,unseen_both_seen_DTW,unseen_both_seen_N,unseen_both_seen_CRPS,unseen_both_seen_NLL,unseen_both_seen_KL_Div,unseen_both_unseen_R2,unseen_both_unseen_KGE,unseen_both_unseen_ubRMSE,unseen_both_unseen_FreezeAcc,unseen_both_unseen_DTW,unseen_both_unseen_N,unseen_both_unseen_CRPS,unseen_both_unseen_NLL,unseen_both_unseen_KL_Div,unseen_both_all_R2,unseen_both_all_KGE,unseen_both_all_ubRMSE,unseen_both_all_FreezeAcc,unseen_both_all_DTW,unseen_both_all_N,unseen_both_all_CRPS,unseen_both_all_NLL,unseen_both_all_KL_Div,unseen_both_spatial_gap,unseen_both_inference_s,Resumed
SpatialFuseMoE,temp,SSM,0.9215548059168119,0.8725,0.9305,0.7763,90.52,0.0293,17280,0.366,2.7959,10.7641,-9625470161.8751,,0.0,0.0,0.0002,5760,0.0323,-1.0703,15.8424,0.8818,0.9332,0.6724,67.89,0.0228,23040,0.2825,1.8294,12.9516,9625470162.7476,0.79,-28877856730.4148,,0.0,0.0,0.0002,17280,0.0323,-1.0703,15.9315,0.9115,0.9326,0.6304,88.21,0.0021,5760,0.2484,0.0057,15.7656,0.9241,0.9203,0.3152,22.05,0.0003,23040,0.0863,-0.8013,15.8069,-28877856731.3263,0.78,0.8179,0.543,0.6755,83.82,0.0675,5760,0.3752,6.8914,9.9222,-3208650349.5707,,0.0,0.0,0.0002,1920,0.0323,-1.0703,15.9315,0.8203,0.5498,0.59,62.86,0.0593,7680,0.2895,4.9009,10.4286,3208650350.3886,0.26,-9625471949.9252,,0.0,0.0,0.0002,5760,0.0323,-1.0703,15.8424,0.8859,0.5612,0.1548,84.43,0.0212,1920,0.0866,-0.0381,4.0173,0.8866,0.8311,0.0799,21.11,0.0148,7680,0.0459,-0.8122,0.4529,-9625471950.8111,0.26,False
SpatialFuseMoE,smap,SSM,0.9559336491464479,0.9537,0.8336,0.2841,97.56,0.0001,17280,0.0943,-1.2927,40.2295,-255738459.5705,,0.0,100.0,0.0,5760,0.0043,-3.0898,13.8229,0.9539,0.835,0.2465,98.17,0.0001,23040,0.0718,-1.742,50.235,255738460.5242,0.79,-767254306.8661,,0.0,100.0,0.0,17280,0.0043,-3.0898,13.9119,0.9237,0.6824,0.3954,93.04,0.007,5760,0.1726,0.3406,20.4323,0.9263,0.632,0.2017,98.26,0.0036,23040,0.0464,-2.2322,57.6961,-767254307.7898,0.78,0.9799,0.618,0.1181,98.06,0.0021,5760,0.0362,-1.7594,53.1412,-85250399.0068,,0.0,100.0,0.0,1920,0.0043,-3.0898,13.9119,0.9799,0.5821,0.1026,98.54,0.0018,7680,0.0282,-2.092,61.7362,85250399.9867,0.26,-255738589.9491,,0.0,100.0,0.0,5760,0.0043,-3.0898,13.8229,0.9411,-5.1459,0.1822,97.81,0.0122,1920,0.0888,-0.5249,9.7108,0.9411,-1.5215,0.0929,99.45,0.0076,7680,0.0254,-2.4486,23.7456,-255738590.8902,0.26,False
SpatialFuseMoE,moist,SSM,0.643845315741368,0.6011,-0.9246,0.0144,84.4,0.0,17280,1.1723,0.5037,4.8867,-16874.4821,,0.0,0.0,0.0,5760,0.0136,-1.9229,15.0788,0.6013,-0.9184,0.0125,63.3,0.0,23040,0.8826,-0.103,4.7465,16875.0832,0.8,-50625.5133,,0.0,0.0,0.0,17280,0.0136,-1.9229,15.0788,0.5457,-0.7991,0.0117,76.82,0.0,5760,0.9311,-0.2349,4.9329,0.5464,-0.7377,0.0059,19.21,0.0,23040,0.243,-1.5009,4.282,-50626.059,0.79,0.7592,0.5279,0.0015,77.66,0.0,5760,0.0987,-1.3579,4.4362,-5624.1633,,0.0,0.0,0.0,1920,0.0136,-1.9229,15.0788,0.7603,0.5419,0.0013,58.24,0.0,7680,0.0774,-1.4991,4.3353,5624.9225,0.26,-16874.5082,,0.0,0.0,0.0,5760,0.0136,-1.9229,15.0788,0.761,-252.6776,0.001,73.07,0.0,1920,0.0333,-2.1178,3.7553,0.7608,-136.3545,0.0005,18.27,0.0,7680,0.0185,-1.9717,3.8636,-16875.2692,0.26,False
