arch,tier,target,n_subsets,strategy,subset_val_r2s,combined_val_r2,fine_tune_r2,std_R2,space_R2,time_R2,both_R2,train_time_s,eval_time_s,total_time_s,combine_time_s
SpatialBiGRU,SSM,temp,8,fedavg,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9468, 0.9411]",-74.014,0.9541,0.9123,0.9541,0.9123,0.9541,705.8,29.7,855.7,120.2
SpatialBiGRU,SSM,temp,8,weighted,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9468, 0.9411]",-74.014,0.9561,0.916,0.9561,0.916,0.9561,705.8,30.0,857.3,121.5
SpatialBiGRU,SSM,temp,8,momentum,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9468, 0.9411]",-74.014,0.9501,0.9179,0.9501,0.9179,0.9501,705.8,29.0,856.1,121.3
SpatialBiGRU,SSM,temp,8,belief,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9468, 0.9411]",-74.014,0.9582,0.9248,0.9582,0.9248,0.9582,705.8,28.3,846.6,112.5
GraphSAGE,GRAPH,temp,1,baseline,[0.959],0.959,0.959,0.9234,0.959,0.9234,0.959,296.2,27.6,323.8,
GraphSAGE,GRAPH,temp,2,fedavg,"[-99.0, 0.9645]",-49.0177,0.9636,0.9318,0.9636,0.9318,0.9636,361.4,28.4,490.4,100.6
GraphSAGE,GRAPH,temp,2,weighted,"[-99.0, 0.9645]",-49.0177,0.9614,0.9313,0.9614,0.9313,0.9614,361.4,27.0,490.3,101.9
GraphSAGE,GRAPH,temp,2,momentum,"[-99.0, 0.9645]",-49.0177,0.9632,0.9288,0.9632,0.9288,0.9632,361.4,28.6,498.6,108.6
GraphSAGE,GRAPH,temp,2,belief,"[-99.0, 0.9645]",-49.0177,0.9631,0.9339,0.9631,0.9339,0.9631,361.4,28.4,498.4,108.6
GraphSAGE,GRAPH,temp,4,fedavg,"[-99.0, -99.0, -99.0, 0.9639]",-74.009,0.9612,0.9281,0.9612,0.9281,0.9612,543.9,28.4,682.4,110.1
GraphSAGE,GRAPH,temp,4,weighted,"[-99.0, -99.0, -99.0, 0.9639]",-74.009,0.9596,0.9259,0.9596,0.9259,0.9596,543.9,28.7,681.6,109.0
GraphSAGE,GRAPH,temp,4,momentum,"[-99.0, -99.0, -99.0, 0.9639]",-74.009,0.9606,0.9308,0.9606,0.9308,0.9606,543.9,27.8,679.8,108.2
GraphSAGE,GRAPH,temp,4,belief,"[-99.0, -99.0, -99.0, 0.9639]",-74.009,0.9633,0.9315,0.9633,0.9315,0.9633,543.9,28.4,674.3,102.0
GraphSAGE,GRAPH,temp,8,fedavg,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9558, 0.9532]",-74.0114,0.9557,0.9182,0.9557,0.9182,0.9557,535.3,28.9,662.6,98.5
GraphSAGE,GRAPH,temp,8,weighted,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9558, 0.9532]",-74.0114,0.9568,0.9266,0.9568,0.9266,0.9568,535.3,27.7,661.9,98.9
GraphSAGE,GRAPH,temp,8,momentum,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9558, 0.9532]",-74.0114,0.9553,0.9255,0.9553,0.9255,0.9553,535.3,27.8,661.8,98.7
GraphSAGE,GRAPH,temp,8,belief,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9558, 0.9532]",-74.0114,0.951,0.9177,0.951,0.9177,0.951,535.3,27.9,662.4,99.3
GCN_NoTemporal,STANDALONE,temp,1,baseline,[0.9525],0.9525,0.9525,0.9127,0.9525,0.9127,0.9525,73.6,27.0,100.6,
GCN_NoTemporal,STANDALONE,temp,2,fedavg,"[-99.0, 0.9583]",-49.0209,0.9547,0.9147,0.9547,0.9147,0.9547,96.0,26.1,152.0,29.9
GCN_NoTemporal,STANDALONE,temp,2,weighted,"[-99.0, 0.9583]",-49.0209,0.9548,0.9152,0.9548,0.9152,0.9548,96.0,25.8,151.1,29.4
GCN_NoTemporal,STANDALONE,temp,2,momentum,"[-99.0, 0.9583]",-49.0209,0.9545,0.9148,0.9545,0.9148,0.9545,96.0,26.3,151.5,29.3
GCN_NoTemporal,STANDALONE,temp,2,belief,"[-99.0, 0.9583]",-49.0209,0.9541,0.9136,0.9541,0.9136,0.9541,96.0,28.0,153.3,29.4
GCN_NoTemporal,STANDALONE,temp,4,fedavg,"[-99.0, -99.0, -99.0, 0.9581]",-74.0105,0.9428,0.9105,0.9428,0.9105,0.9428,138.1,27.7,196.0,30.2
GCN_NoTemporal,STANDALONE,temp,4,weighted,"[-99.0, -99.0, -99.0, 0.9581]",-74.0105,0.946,0.9111,0.946,0.9111,0.946,138.1,27.7,196.3,30.5
GCN_NoTemporal,STANDALONE,temp,4,momentum,"[-99.0, -99.0, -99.0, 0.9581]",-74.0105,0.9416,0.9073,0.9416,0.9073,0.9416,138.1,28.3,196.2,29.8
GCN_NoTemporal,STANDALONE,temp,4,belief,"[-99.0, -99.0, -99.0, 0.9581]",-74.0105,0.9478,0.9113,0.9478,0.9113,0.9478,138.1,26.7,194.7,29.9
GCN_NoTemporal,STANDALONE,temp,8,fedavg,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.923, 0.9179]",-74.0199,0.9371,0.9082,0.9371,0.9082,0.9371,156.6,26.1,212.5,29.8
GCN_NoTemporal,STANDALONE,temp,8,weighted,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.923, 0.9179]",-74.0199,0.937,0.9066,0.937,0.9066,0.937,156.6,27.4,213.8,29.9
GCN_NoTemporal,STANDALONE,temp,8,momentum,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.923, 0.9179]",-74.0199,0.9405,0.9085,0.9405,0.9085,0.9405,156.6,27.5,213.6,29.5
GCN_NoTemporal,STANDALONE,temp,8,belief,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.923, 0.9179]",-74.0199,0.9439,0.9099,0.9439,0.9099,0.9439,156.6,26.6,212.4,29.2
STGCN,GRAPH,smap,1,baseline,[0.9544],0.9544,0.9544,0.9678,0.9544,0.9678,0.9544,272.8,28.6,301.4,
STGCN,GRAPH,smap,2,fedavg,"[-99.0, 0.9605]",-49.0197,0.9599,0.9659,0.9599,0.9659,0.9599,339.5,28.2,464.8,97.1
STGCN,GRAPH,smap,2,weighted,"[-99.0, 0.9605]",-49.0197,0.9583,0.9644,0.9583,0.9644,0.9583,339.5,27.5,462.1,95.1
STGCN,GRAPH,smap,2,momentum,"[-99.0, 0.9605]",-49.0197,0.9583,0.9666,0.9583,0.9666,0.9583,339.5,27.5,463.0,96.1
STGCN,GRAPH,smap,2,belief,"[-99.0, 0.9605]",-49.0197,0.9596,0.9685,0.9596,0.9685,0.9596,339.5,27.2,461.8,95.1
STGCN,GRAPH,smap,4,fedavg,"[-99.0, -99.0, -99.0, 0.9593]",-74.0102,0.9597,0.9661,0.9597,0.9661,0.9597,455.3,28.1,579.1,95.8
STGCN,GRAPH,smap,4,weighted,"[-99.0, -99.0, -99.0, 0.9593]",-74.0102,0.9593,0.967,0.9593,0.967,0.9593,455.3,28.4,579.6,96.0
STGCN,GRAPH,smap,4,momentum,"[-99.0, -99.0, -99.0, 0.9593]",-74.0102,0.9596,0.967,0.9596,0.967,0.9596,455.3,28.4,582.1,98.5
STGCN,GRAPH,smap,4,belief,"[-99.0, -99.0, -99.0, 0.9593]",-74.0102,0.9588,0.9652,0.9588,0.9652,0.9588,455.3,27.3,588.4,105.9
STGCN,GRAPH,smap,8,fedavg,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9461, 0.9388]",-74.0144,0.9536,0.9657,0.9536,0.9657,0.9536,592.6,27.3,714.3,94.4
STGCN,GRAPH,smap,8,weighted,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9461, 0.9388]",-74.0144,0.9506,0.9633,0.9506,0.9633,0.9506,592.6,28.2,715.5,94.8
STGCN,GRAPH,smap,8,momentum,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9461, 0.9388]",-74.0144,0.9544,0.9655,0.9544,0.9655,0.9544,592.6,27.7,716.2,95.9
STGCN,GRAPH,smap,8,belief,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9461, 0.9388]",-74.0144,0.9522,0.9613,0.9522,0.9613,0.9522,592.6,27.4,716.1,96.2
SpatialMamba,SSM,smap,1,baseline,[0.9459],0.9459,0.9459,0.9602,0.9459,0.9602,0.9459,309.5,27.5,337.0,
SpatialMamba,SSM,smap,2,fedavg,"[-99.0, 0.9498]",-49.0251,0.9524,0.9583,0.9524,0.9583,0.9524,378.2,27.7,515.1,109.1
SpatialMamba,SSM,smap,2,weighted,"[-99.0, 0.9498]",-49.0251,0.9526,0.9603,0.9526,0.9603,0.9526,378.2,27.6,514.5,108.7
SpatialMamba,SSM,smap,2,momentum,"[-99.0, 0.9498]",-49.0251,0.9512,0.9604,0.9512,0.9604,0.9512,378.2,27.8,514.7,108.7
SpatialMamba,SSM,smap,2,belief,"[-99.0, 0.9498]",-49.0251,0.9532,0.9616,0.9532,0.9616,0.9532,378.2,27.3,512.4,106.9
SpatialMamba,SSM,smap,4,fedavg,"[-99.0, -99.0, -99.0, 0.9408]",-74.0148,0.9481,0.9583,0.9481,0.9583,0.9481,507.5,27.4,632.3,97.4
SpatialMamba,SSM,smap,4,weighted,"[-99.0, -99.0, -99.0, 0.9408]",-74.0148,0.9476,0.9582,0.9476,0.9582,0.9476,507.5,28.0,630.0,94.5
SpatialMamba,SSM,smap,4,momentum,"[-99.0, -99.0, -99.0, 0.9408]",-74.0148,0.9517,0.9594,0.9517,0.9594,0.9517,507.5,27.6,631.8,96.7
SpatialMamba,SSM,smap,4,belief,"[-99.0, -99.0, -99.0, 0.9408]",-74.0148,0.9487,0.9579,0.9487,0.9579,0.9487,507.5,27.2,630.7,96.1
SpatialMamba,SSM,smap,8,fedavg,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9384, 0.9189]",-74.0178,0.9375,0.952,0.9375,0.952,0.9375,573.2,27.6,709.2,108.4
SpatialMamba,SSM,smap,8,weighted,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9384, 0.9189]",-74.0178,0.9379,0.9519,0.9379,0.9519,0.9379,573.2,28.6,711.9,110.1
SpatialMamba,SSM,smap,8,momentum,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9384, 0.9189]",-74.0178,0.9419,0.9547,0.9419,0.9547,0.9419,573.2,27.4,709.2,108.6
SpatialMamba,SSM,smap,8,belief,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9384, 0.9189]",-74.0178,0.9374,0.9512,0.9374,0.9512,0.9374,573.2,28.0,707.3,106.0
SpatialBiGRU,SSM,smap,1,baseline,[0.945],0.945,0.945,0.9581,0.945,0.9581,0.945,346.2,28.8,375.0,
SpatialBiGRU,SSM,smap,2,fedavg,"[-99.0, 0.9464]",-49.0268,0.9502,0.9571,0.9502,0.9571,0.9502,408.6,27.7,549.2,112.9
SpatialBiGRU,SSM,smap,2,weighted,"[-99.0, 0.9464]",-49.0268,0.947,0.954,0.947,0.954,0.947,408.6,27.6,550.5,114.3
SpatialBiGRU,SSM,smap,2,momentum,"[-99.0, 0.9464]",-49.0268,0.9488,0.9557,0.9488,0.9557,0.9488,408.6,28.9,551.9,114.3
SpatialBiGRU,SSM,smap,2,belief,"[-99.0, 0.9464]",-49.0268,0.9492,0.956,0.9492,0.956,0.9492,408.6,27.9,549.8,113.3
SpatialBiGRU,SSM,smap,4,fedavg,"[-99.0, -99.0, -99.0, 0.9418]",-74.0145,0.949,0.9543,0.949,0.9543,0.949,562.7,27.6,699.8,109.5
SpatialBiGRU,SSM,smap,4,weighted,"[-99.0, -99.0, -99.0, 0.9418]",-74.0145,0.9484,0.9554,0.9484,0.9554,0.9484,562.7,28.9,699.7,108.1
SpatialBiGRU,SSM,smap,4,momentum,"[-99.0, -99.0, -99.0, 0.9418]",-74.0145,0.9465,0.9539,0.9465,0.9539,0.9465,562.7,27.9,698.9,108.2
