arch,tier,target,n_subsets,strategy,subset_val_r2s,combined_val_r2,fine_tune_r2,std_R2,space_R2,time_R2,both_R2,train_time_s,eval_time_s,total_time_s,combine_time_s
STGCN,GRAPH,moist,1,baseline,[0.5753],0.5753,0.5753,0.5972,0.5753,0.5972,0.5753,292.3,27.4,319.7,
STGCN,GRAPH,moist,2,fedavg,"[-99.0, 0.3502]",-49.3249,0.4302,0.4283,0.4302,0.4283,0.4302,353.3,27.8,480.3,99.3
STGCN,GRAPH,moist,2,weighted,"[-99.0, 0.3502]",-49.3249,0.4363,0.4339,0.4363,0.4339,0.4363,353.3,28.1,480.0,98.6
STGCN,GRAPH,moist,2,momentum,"[-99.0, 0.3502]",-49.3249,0.4338,0.4322,0.4338,0.4322,0.4338,353.3,27.9,485.5,104.3
STGCN,GRAPH,moist,2,belief,"[-99.0, 0.3502]",-49.3249,0.4299,0.4258,0.4299,0.4258,0.4299,353.3,27.8,479.3,98.2
STGCN,GRAPH,moist,4,fedavg,"[-99.0, -99.0, -99.0, 0.2359]",-74.191,0.3372,0.3288,0.3372,0.3288,0.3372,542.3,27.1,677.9,108.4
STGCN,GRAPH,moist,4,weighted,"[-99.0, -99.0, -99.0, 0.2359]",-74.191,0.3371,0.3286,0.3371,0.3286,0.3371,542.3,27.4,669.1,99.4
STGCN,GRAPH,moist,4,momentum,"[-99.0, -99.0, -99.0, 0.2359]",-74.191,0.3351,0.328,0.3351,0.328,0.3351,542.3,27.3,666.3,96.6
STGCN,GRAPH,moist,4,belief,"[-99.0, -99.0, -99.0, 0.2359]",-74.191,0.3324,0.3239,0.3324,0.3239,0.3324,542.3,27.3,666.5,96.9
STGCN,GRAPH,moist,8,fedavg,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.2332, 0.1162]",-74.2063,0.3254,0.3165,0.3254,0.3165,0.3254,481.9,27.2,606.0,96.9
STGCN,GRAPH,moist,8,weighted,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.2332, 0.1162]",-74.2063,0.3289,0.3218,0.3289,0.3218,0.3289,481.9,27.0,602.7,93.8
STGCN,GRAPH,moist,8,momentum,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.2332, 0.1162]",-74.2063,0.3223,0.3133,0.3223,0.3133,0.3223,481.9,28.8,606.3,95.6
