trial,r2,elapsed_s,lr,hidden_dim,n_layers,gcn_layers,dropout,weight_decay,lam_smooth,lam_crps
0,0.9544648957277317,0.0,0.0017970797540059428,100.84173937505072,1,3,0.07348508195600155,0.00032735650803498436,0.14444968326328986,0.28370425430135665
1,0.9513399954070325,0.0,0.0007705989229173007,93.08655638845144,1,3,0.06276345122083507,0.00045212897915896766,0.13001623583319233,0.23952193502134345
2,0.951319335329986,0.0,0.0037336070725030326,80.39854498246987,4,2,0.12415960484651625,0.0007137234690401973,0.13233437281532626,0.2556904033177075
3,0.9507626035542591,0.0,0.002376853284430317,82.36550933189531,3,3,0.10384725230364478,0.0009266979082795452,0.17188743467145318,0.24455625220474742
4,0.9495940836033416,0.0,0.000576026596277805,95.99426403545766,2,2,0.10231073528529602,0.00015818179128025407,0.17037621338990822,0.18921067738679215
5,0.9490860574021619,0.0,0.001447150384937267,147.5522992607244,2,3,0.19759864656133844,3.7213418045334777e-05,0.030546599697854435,0.17662475621272933
6,0.9479794221812573,0.0,0.00404203181047631,122.5990325884083,2,4,0.14287489954149013,1.7855504647215578e-05,0.05913873741913818,0.11737081265000035
7,0.9479730315642048,0.0,0.003388423732158626,145.24394496007562,3,3,0.1618414321490827,4.0541535749001684e-05,0.01585538856790849,0.15917934730809058
8,0.9478167678458659,0.0,0.002231047589083275,147.51177150919582,4,4,0.1771001662050929,8.17131634380386e-05,0.03842360403826818,0.17579405096654316
9,0.947353058146625,0.0,0.0006890149396184472,187.67768475432726,1,3,0.23660464432004225,0.0004061830826108325,0.09880250429550538,0.24619086231304688
10,0.9472347083755317,0.0,0.0010907286498539606,104.4389186343415,1,4,0.18233225263355224,5.58875997149676e-05,0.027948666931687904,0.2366974028372565
11,0.9471505121948255,0.0,0.0008276210937283382,136.79887308197038,1,1,0.0729060147071947,0.00021717304645704538,0.09950827916719518,0.1913090266202972
12,0.946635753164223,0.0,0.004174784328960021,96.9455926455266,4,2,0.1059587145417212,0.00047828974073139957,0.16795984232761407,0.2840994291021308
13,0.946591488392061,0.0,0.0004500820730463082,72.53797091706313,1,3,0.0761654155502898,0.0002247620219868065,0.11742985779412948,0.22208016952376486
14,0.9459092920113118,0.0,0.0009404087507079719,126.81049527737868,2,4,0.16434561047521506,8.850724084484438e-05,0.060725375987459786,0.13289224933563804
15,0.9458504394420673,0.0,0.0025149549152136495,103.98293009690126,4,4,0.21095287149936037,5.956028374469396e-05,0.06478233974674638,0.2206238759937439
16,0.945761213535362,0.0,0.0031137700797897222,75.99507423593698,3,1,0.1487610328708609,0.0007610570342817954,0.09483579040146813,0.20029952798472447
17,0.9457346761598183,0.0,0.0027150659192692194,121.51827227440495,3,2,0.06927819243069987,0.000638564532552464,0.0965974950683861,0.10059084119880758
18,0.9455434550499436,0.0,0.004035251576234647,163.33188765636663,4,4,0.20644413843081572,2.2976482882941222e-05,0.041483728681399094,0.10856049700364073
19,0.9450676366036973,0.0,0.0024463853722533633,138.3829259802755,2,1,0.21082490523645253,0.0002696585899348614,0.15040696074395293,0.08276443788932832
20,0.9445712257270359,0.0,0.0024696803719805207,121.10800327347593,1,2,0.11030241782957531,0.00018220705396336788,0.07874439600514417,0.07191247982902525
21,0.9444117786378114,0.0,0.00043080207419942236,185.97112256892734,3,2,0.15301142584634292,3.250350392917696e-05,0.18784827830930304,0.09115195439550454
