trial,r2,elapsed_s,lr,hidden_dim,n_layers,gcn_layers,dropout,weight_decay,lam_smooth,lam_crps
0,0.8175247647337314,0.0,0.004191376124553273,145.3633980905086,1,3,0.0750287456757388,5.7213285851315745e-05,0.046121342213493684,0.21943403378017035
1,0.7799480173153956,0.0,0.0017972880279365502,138.76454002083017,1,3,0.06688886422797782,6.786014828968067e-05,0.017906693033759573,0.17349770481112975
2,0.7741243342671928,0.0,0.0011035024344152773,153.7977024086888,1,2,0.09647425770439358,0.00015571622715673786,0.017319381355255327,0.18779517237886972
3,0.7712260217868234,0.0,0.0031022301911352262,115.54865981206967,4,3,0.1892690655717089,6.01842697125295e-05,0.1004078092590342,0.26451532934651967
4,0.767938399250222,0.0,0.002261658796858914,87.84466212578818,3,3,0.22738330097551074,0.0001234597864663,0.02728375733288825,0.16644373311314115
5,0.7636787441308616,0.0,0.001049738193783857,115.7097183218834,1,3,0.07788525637403067,3.66593486974439e-05,0.03036261404933023,0.15679676103941068
6,0.7557216449418105,0.0,0.0010948074996263504,116.59579731312192,1,2,0.0514145667934192,2.437868150174624e-05,0.01967630637110703,0.11767044638952667
7,0.7323985008298803,0.0,0.0025149549152136495,103.98293009690126,4,4,0.21095287149936037,5.956028374469396e-05,0.06478233974674638,0.2206238759937439
8,0.7303229656286994,0.0,0.0010907286498539606,104.4389186343415,1,4,0.18233225263355224,5.58875997149676e-05,0.027948666931687904,0.2366974028372565
9,0.71828215379854,0.0,0.0013556587593487003,81.7940062626742,1,4,0.16336572002595967,2.4614294401930763e-05,0.07027628970775038,0.19488886817916626
10,0.714779976763056,0.0,0.0007346456743441745,106.70674518346172,2,4,0.19759098668956243,0.00011264379815165935,0.04486596281331733,0.25331210649570907
11,0.7127556089801842,0.0,0.001353314469390436,122.52686133063253,2,4,0.22693495891528526,3.1673700921683616e-05,0.04861968073972351,0.18607855253280664
12,0.7064331780593517,0.0,0.0013434819002131472,140.28472873875896,2,2,0.10574909604400973,2.4186702948488476e-05,0.06124242954145224,0.12338684750861419
13,0.7049069461430189,0.0,0.0016905412351954584,96.26863119942472,3,4,0.1873888690793265,0.00016742283235412613,0.10433540160287329,0.21823767953125373
14,0.7015124450882171,0.0,0.0027150659192692194,121.51827227440495,3,2,0.06927819243069987,0.000638564532552464,0.0965974950683861,0.10059084119880758
15,0.6800596843176148,0.0,0.0010998787335882115,120.18066691904598,2,1,0.21525838483887155,0.0006198998677224926,0.036647326909736044,0.18850903588476237
16,0.6760716300830444,0.0,0.00047018517233996036,106.74727293499029,1,4,0.218089467045808,5.129969976025477e-05,0.03520359416916356,0.25414281174189524
17,0.6654452385110137,0.0,0.000989978931709919,118.42873030627258,4,3,0.24429562516024889,2.5844294907309888e-05,0.10837596310810901,0.25823439800438097
18,0.659940336453501,0.0,0.0007705989229173007,93.08655638845144,1,3,0.06276345122083507,0.00045212897915896766,0.13001623583319233,0.23952193502134345
19,0.6571221040428158,0.0,0.0035311169138214082,120.1764402882627,2,4,0.18947360581187278,1.5429601005519722e-05,0.19536824681098364,0.24028492549758823
20,0.6497725785367017,0.0,0.006792406834214724,93.46739083454474,1,1,0.16097049387829668,5.5187988830511374e-05,0.1676600511951585,0.25206286801607547
