round,arch,n_workers,rmse,r2,gamma,mean_uncertainty,worker_uncertainties,worker_angle_scales,alphas,betas,worker_losses,time_r2,time_rmse,elapsed
1,STGCN,8,1.5801582336425781,0.9517126003054004,0.7829587716986044,0.7887203329575951,"[0.7518969557348473, 0.7459943688269638, 0.8247877734393617, 0.7853164988000596, 0.7765113778334516, 0.835351990038044, 0.8314495626238265, 0.7584541363642073]","[1.5823603784362466, 1.816485128306916, 1.6953861197531221, 1.9462340660431245, 1.5823603784362466, 1.6953861197531208, 2.234197269692362, 1.8164851283069166]","[0.12499294995868267, 0.12496676440002377, 0.12496676440002377, 0.12496676440002377, 0.1250924594343031, 0.12496676440002377, 0.12496676440002377, 0.12508076860689527]","[0.9572970643209712, 0.9372893607564051, 0.9398955414040017, 0.9344261891472334, 0.950717820028741, 0.9258299582365932, 0.9194470912533826, 0.9302505523053897]","[0.5257479548454285, 1.1551562547683716, 0.08205889165401459, 2.6858720779418945, -0.07416557520627975, 0.07133015990257263, 3.154723882675171, -0.012931154109537601]",0.9517126003054004,1.5801582336425781,101.80826663970947
2,STGCN,8,1.5775705575942993,0.951870626253006,0.7805727721374349,0.8167909160301763,"[0.7403416986985308, 0.8081529979267692, 0.8063424771810013, 0.8331342543054651, 0.8532648313222921, 0.8530355921960211, 0.8557888258023226, 0.7842666508090087]","[1.6953861197531217, 1.406542558609997, 1.6953861197531215, 2.747964936301649, 2.085250785046205, 2.2341972696923618, 2.5647672738815377, 1.946234066043124]","[0.12497107430356678, 0.12497107430356678, 0.12502867997647674, 0.12508013210952207, 0.12501392568240532, 0.12497107430356678, 0.12497107430356678, 0.12499296501732875]","[0.9632232781051911, 0.9826946110274297, 0.9440013844435481, 0.918879391462925, 0.9345949976127439, 0.9229457656368129, 0.9210518116340802, 0.9328725011955471]","[3.5232620239257812, 2.3315258026123047, 0.023981032893061638, -0.04896749183535576, 0.2939130663871765, 0.07625208050012589, 3.79419207572937, 0.0629352256655693]",0.951870626253006,1.5775705575942993,104.82207155227661
3,STGCN,8,1.5750837326049805,0.9520222428721421,0.7824182618579328,0.795079272259613,"[0.7719384286697658, 0.6996085281941429, 0.7859283155711172, 0.8403654825557147, 0.7840952184892764, 0.8143670203419583, 0.8219724612359351, 0.8423587230189925]","[2.0852507850462056, 2.0852507850462048, 2.1278069235165367, 2.0852507850462056, 1.8164851283069163, 1.8164851283069163, 1.9462340660431245, 2.0852507850462056]","[0.12496999735397235, 0.1250075641100223, 0.12496999735397235, 0.12505659255638876, 0.12505670511153885, 0.12499914880616061, 0.12496999735397235, 0.12496999735397235]","[0.9278354096632154, 0.9573747761798331, 0.9350970891696199, 0.9239432718242216, 0.9428017425048343, 0.9341357107504539, 0.9380465026732422, 0.9315115388552072]","[0.49160632491111755, 0.4078094959259033, 2.2848987579345703, 0.18634431064128876, 0.007811964955180883, 0.7364185452461243, 0.9802017211914062, 4.2408318519592285]",0.9520222428721421,1.5750837326049805,106.96731114387512
4,STGCN,8,1.5728954076766968,0.9521554636562511,0.7822152754672707,0.7974673474438747,"[0.7763797661711593, 0.8428944999496345, 0.7878925368015455, 0.8705962923674833, 0.7819563255878993, 0.7989742939570671, 0.7994117107912057, 0.7216333539250027]","[2.127806923516535, 2.085250785046205, 1.9859531286154337, 1.9462340660431248, 1.9462340660431245, 2.0852507850462056, 1.8164851283069159, 2.2341972696923635]","[0.12504637295422963, 0.12495685431021303, 0.12495685431021303, 0.12495685431021303, 0.12497188285465273, 0.12503240840101615, 0.12507982929332534, 0.124998943566137]","[0.9327450834792183, 0.9262178097445152, 0.9357617933503716, 0.927435305049697, 0.9408026072863601, 0.9359405716189689, 0.9505410473380393, 0.9369595431600422]","[0.198358952999115, 1.0040464401245117, 1.5096940994262695, 0.2961257994174957, 1.7094793319702148, 0.06017409637570381, 0.3401285707950592, 1.772923469543457]",0.9521554636562511,1.5728954076766968,104.5032410621643
5,STGCN,8,1.5707961320877075,0.9522830954587205,0.7811806060837991,0.8096399284258924,"[0.7164548023696158, 0.8455353432234344, 0.8045958675332693, 0.8035994414844629, 0.8196649340854836, 0.827238094300893, 0.8009006688021061, 0.8591302756078733]","[1.946234066043125, 2.234197269692362, 1.6953861197531217, 2.3937827889561025, 2.085250785046205, 1.8164851283069168, 1.946234066043125, 2.234197269692363]","[0.1250675418024126, 0.1249934101444123, 0.12497828734854069, 0.12497828734854069, 0.12497828734854069, 0.12497828734854069, 0.12504761131047168, 0.12497828734854069]","[0.9565592163548332, 0.9191969672408956, 0.959280285370646, 0.9255568788652774, 0.9255096002947508, 0.9447962379122881, 0.9447119215172167, 0.9280232276465337]","[0.47667399048805237, 0.15823625028133392, 0.5275939702987671, 2.820554733276367, 1.5725955963134766, 1.6662063598632812, 0.45891475677490234, 0.7490517497062683]",0.9522830954587205,1.5707961320877075,106.00617480278015
6,STGCN,8,1.568459153175354,0.9524249682460857,0.7843782497153459,0.7720205915841657,"[0.802000641944099, 0.7256613291845747, 0.7735489820251015, 0.6972093342368219, 0.7722334108604708, 0.804379264167529, 0.7754819071156713, 0.8256498631390571]","[2.0852507850462048, 1.6953861197531213, 2.085250785046205, 2.234197269692362, 2.234197269692361, 2.393782788956102, 1.8164851283069166, 1.9462340660431239]","[0.12495919899941332, 0.12503901913388715, 0.12497458269602314, 0.12495919899941332, 0.12503646986274822, 0.12500756546494254, 0.1250647658441589, 0.12495919899941332]","[0.939030872895287, 0.96240646032101, 0.9326775663507082, 0.9384469706385525, 0.9336356382512028, 0.9194834596302532, 0.9411682275275285, 0.9282166393202897]","[0.4873507022857666, 0.3161137104034424, 1.082143783569336, 0.36779430508613586, 0.026139581575989723, -0.07700814306735992, 0.42553457617759705, 0.5984775424003601]",0.9524249682460857,1.568459153175354,105.47202348709106
7,STGCN,8,1.5666203498840332,0.9525364586918662,0.7847180977298274,0.7680223796490889,"[0.6960568512003933, 0.7957178523860244, 0.7184849249780183, 0.7617760586342044, 0.8273863017665604, 0.7775147575470015, 0.786863273463686, 0.7803790172168231]","[1.9462340660431248, 1.695386119753122, 1.9462340660431239, 1.8164851283069172, 2.0852507850462048, 1.9462340660431254, 1.9462340660431243, 2.0852507850462056]","[0.12499444952583719, 0.12499444952583719, 0.12499444952583719, 0.12499444952583719, 0.12499444952583719, 0.12500543815485354, 0.1250217791491404, 0.12500053506682013]","[0.952485609727126, 0.935127338612655, 0.9492786282337445, 0.9351272760884293, 0.9186085514241698, 0.9299016974740137, 0.9420977430351903, 0.9323548773038678]","[0.7857799530029297, 0.01671908237040043, 1.2226718664169312, 0.1258443146944046, 3.0036990642547607, 0.4142795503139496, 3.2146499156951904, 0.07801322638988495]",0.9525364586918662,1.5666203498840332,103.8256163597107
8,STGCN,8,1.5646265745162964,0.9526571913184785,0.782210406147393,0.7975246335600812,"[0.737712891230602, 0.7567270888625808, 0.8009887281151822, 0.8417898674074294, 0.8569109043387367, 0.7751618230557169, 0.8524064402047233, 0.7584993252656786]","[1.9462340660431248, 2.234197269692363, 1.5823603784362466, 1.8164851283069163, 2.234197269692362, 2.0852507850462056, 1.695386119753121, 1.9462340660431245]","[0.12498782167630582, 0.12498782167630582, 0.12498782167630582, 0.12499666024853623, 0.12498782167630582, 0.12498782167630582, 0.12498782167630582, 0.1250764096936289]","[0.949513180655164, 0.9383912974678724, 0.9574248900164464, 0.9335407539090755, 0.9113706785471074, 0.9355455964826181, 0.9385515117716301, 0.9373601586939316]","[1.3135980367660522, 1.0313606262207031, 5.070415019989014, 0.06288347393274307, 1.0023458003997803, 1.611380934715271, 3.497072219848633, 1.4411907196044922]",0.9526571913184785,1.5646265745162964,105.53586769104004
9,STGCN,8,1.5628771781921387,0.9527629924524315,0.7830473753352786,0.7876779372320166,"[0.7633175224996641, 0.6843649325217374, 0.7827492021892692, 0.7991579275043995, 0.8507983766344194, 0.790890448122743, 0.8884756760543318, 0.7416694123295688]","[1.5823603784362466, 2.0852507850462048, 1.8164851283069159, 1.9462340660431254, 2.0852507850462048, 2.3937827889561025, 1.695386119753122, 1.4768696865404964]","[0.1249771922792705, 0.1249771922792705, 0.1249771922792705, 0.125104299049691, 0.1249771922792705, 0.1249771922792705, 0.12497987993012137, 0.12502985962383506]","[0.9745689065754183, 0.9456357800046665, 0.9435178587350305, 0.9438405241512888, 0.9151990449235996, 0.9110377776840395, 0.930023258435739, 0.9648640907505318]","[0.610697865486145, 1.340939998626709, 0.3128626346588135, 0.6557171940803528, 0.550524890422821, 0.26278984546661377, 0.31264057755470276, 0.04140114784240723]",0.9527629924524315,1.5628771781921387,104.41079926490784
10,STGCN,8,1.5610454082489014,0.9528736566496063,0.7842815458772282,0.7731582837973144,"[0.7214165107467484, 0.6938126644612167, 0.7382896529242923, 0.8165566745718348, 0.8424765439203366, 0.7463221347501467, 0.8340376510155039, 0.7923544379884363]","[1.2865175936086106, 1.8164851283069163, 2.3937827889561025, 2.0852507850462048, 2.3937827889561034, 2.0852507850462048, 1.6953861197531221, 2.5647672738815386]","[0.12499090435455246, 0.12502146585600804, 0.12502585216471554, 0.12496474282266364, 0.1250201759024859, 0.1250126963090482, 0.12500714173288652, 0.12495702085763961]","[0.9934495390100215, 0.9572326341566653, 0.9205465779778569, 0.9228787853306416, 0.9271724682017601, 0.9304418202136535, 0.9495822592453171, 0.9232575883057483]","[0.26514682173728943, 0.18951578438282013, 0.3909423351287842, 0.4864143431186676, 0.3113819360733032, 0.14374355971813202, 1.6218289136886597, 0.37870216369628906]",0.9528736566496063,1.5610454082489014,104.95317888259888
