round,arch,n_workers,rmse,r2,gamma,U,alphas,betas,consensus,stability,progress,worker_losses,elapsed
1,GraphSAGE,2,2.5660130977630615,-0.0076546081394832655,0.7552208146005869,1.1150492399930954,"[0.5, 0.5]","[0.638970672061933, 0.6229284560708798]","[0.20425737087465154, 0.20425737087465154]","[-0.06283285665212601, 0.07997821467449537]","[0.0, 0.0]","[1.8407466411590576, 1.111018419265747]",13.925268173217773
2,GraphSAGE,2,2.5337271690368652,0.017542736594177488,0.7590624543637037,1.0698534780740738,"[0.49913321052764986, 0.5008667894723501]","[0.5640348784384625, 0.6109060696318165]","[0.3140433119625415, 0.3140433119625415]","[0.006979829318375441, 0.06868582081827079]","[0.0, 0.16073803893425237]","[1.3858704566955566, 0.2650716006755829]",13.223331451416016
3,GraphSAGE,2,2.391723155975342,0.12458140175256815,0.7706112111926079,0.9339857506752014,"[0.5, 0.5]","[0.6012693313716537, 0.5768925411278358]","[0.30712109667717163, 0.30712109667717163]","[0.06772408805268461, 0.1944060718456011]","[0.0, 0.0]","[0.2930964529514313, 0.7290422916412354]",13.35572099685669
4,GraphSAGE,2,2.0680675506591797,0.3454793506476206,0.7772741215914487,0.8555985695123673,"[0.481375017226941, 0.518624982773059]","[0.4827944568501679, 0.5515840342882641]","[0.4762813085593283, 0.4762813085593283]","[0.017115364499395377, 0.14583227739109672]","[0.0, 1.0730988362975458]","[0.674619197845459, -0.11191684007644653]",13.236754655838013
5,GraphSAGE,2,1.679555892944336,0.5682992179938996,0.7831383376985789,0.7866077917814255,"[0.5, 0.5]","[0.5284157298930194, 0.5576736530088258]","[0.41208538484190477, 0.41208538484190477]","[-0.036595638826546296, 0.10786117515761119]","[0.0, 0.0]","[1.4381967782974243, 1.515368938446045]",13.830636024475098
6,GraphSAGE,2,1.1985424757003784,0.780162985708783,0.7888287704348563,0.7196615242958069,"[0.5, 0.5]","[0.5099726797898808, 0.597708215478304]","[0.4029967449287427, 0.4029967449287427]","[0.11077197726593749, 0.05209217008845759]","[0.0, 0.0]","[0.6989181041717529, 0.7164822220802307]",13.285477638244629
7,GraphSAGE,2,0.9462645649909973,0.8629689081866728,0.793590856796503,0.6636369788646698,"[0.5, 0.5]","[0.6324218682954466, 0.6375245808682501]","[0.19366327382730908, 0.19366327382730908]","[0.12268049591213817, 0.03286620020570303]","[0.0, 0.0]","[0.2573345899581909, -0.1852589249610901]",13.316166877746582
8,GraphSAGE,2,0.9861685037612915,0.8511680461878153,0.6382286058163644,0.614285208582878,"[0.5, 0.5]","[0.6718904615756401, 0.675038448104916]","[0.0929071804348493, 0.0929071804348493]","[0.2037828760369679, -0.04787965692646126]","[0.0, 0.3237156941830498]","[0.43856313824653625, -0.5405243039131165]",13.323333263397217
9,GraphSAGE,2,0.8246198892593384,0.8959357580201053,0.7952795216754078,0.6437703332304955,"[0.5, 0.5]","[0.608009392433845, 0.6098863926515607]","[0.2583714889740492, 0.2583714889740492]","[0.11493281031140316, 0.04023653825620058]","[0.0, 0.0]","[0.3426860272884369, 0.8675896525382996]",13.3632333278656
10,GraphSAGE,2,0.7667480707168579,0.9100296709860431,0.797419593693316,0.6185930153727531,"[0.4971503786420089, 0.5028496213579912]","[0.6287129074031191, 0.6968175826565127]","[0.1290970241307559, 0.1290970241307559]","[0.15169731575523387, 0.15550579387384705]","[0.0, 0.5677922047062464]","[0.19930225610733032, 0.05746009200811386]",14.013757705688477
11,GraphSAGE,2,0.93733149766922,0.8655439513681901,0.6394834065461159,0.5958322566747665,"[0.499596409174297, 0.5004035908257031]","[0.5924469229384829, 0.7170610028947446]","[0.16863587283371, 0.16863587283371]","[0.12953957735643237, 0.03577950207380098]","[0.0, 0.2675591478197229]","[0.33571112155914307, -0.457552969455719]",13.320222854614258
12,GraphSAGE,2,0.8156889081001282,0.8981776615089626,0.6387393192255497,0.606774717271328,"[0.49865233826173117, 0.5013476617382688]","[0.6580638187773228, 0.6510859727769359]","[0.14314462686437002, 0.14314462686437002]","[0.06821694618392732, 0.030364356459524577]","[0.18663761521506958, 1.6595340684522442]","[0.6942603588104248, -0.37127619981765747]",13.334174633026123
13,GraphSAGE,2,0.7477256655693054,0.9144384730786327,0.7983693467512727,0.6074194499850274,"[0.5007930620079468, 0.4992069379920531]","[0.6493059490892268, 0.6702301121258192]","[0.130134390717335, 0.130134390717335]","[0.07181522811350298, 0.03139354757337348]","[0.33943783008098927, 0.0]","[0.821557879447937, 1.3352904319763184]",13.389039039611816
14,GraphSAGE,2,0.7224223613739014,0.920131348529923,0.8026083802610635,0.5575484675168991,"[0.5, 0.5]","[0.6209122288117622, 0.668029256305134]","[0.17310111589879737, 0.17310111589879737]","[0.1452505915527327, -0.012589526381858803]","[0.0, 0.0]","[0.5808773040771484, -0.03878962993621826]",13.264464378356934
15,GraphSAGE,2,0.6697254776954651,0.9313583717843641,0.8003432394996285,0.5841971823573113,"[0.5, 0.5]","[0.6817900180801465, 0.6386817610083314]","[0.13124019034732204, 0.13124019034732204]","[0.13719622167125853, 0.15075536315281182]","[0.0, 0.0]","[0.78459233045578, -0.12402037531137466]",14.113556146621704
16,GraphSAGE,2,0.8819957375526428,0.8809506911222239,0.6385499662661553,0.6095593196153641,"[0.5137542651429445, 0.48624573485705547]","[0.6678122545796304, 0.6333918677999403]","[0.15542680585493693, 0.15542680585493693]","[0.03750138454448904, 0.05247629170969541]","[10.605256899183015, 0.8317739135026937]","[-0.2954586446285248, -0.07788503170013428]",13.869701385498047
