round,arch,n_workers,rmse,r2,gamma,mean_uncertainty,compression_ratio,compute_time,agg_time,elapsed
1,STGCN,4,1.580685019493103,0.9516804061186589,0.7823438802659913,0.7959543498118669,0.0999994716198199,128.59780097007751,0.08770895004272461,129.70081043243408
2,STGCN,4,1.5791223049163818,0.9517758968503687,0.7839978362632233,0.7764960439620796,0.0999994716198199,127.8205018043518,0.08112907409667969,128.9143385887146
3,STGCN,4,1.5770795345306396,0.9519005777649607,0.7918612394409866,0.6839854183413341,0.0999994716198199,127.03507781028748,0.08381509780883789,128.041974067688
4,STGCN,4,1.575402855873108,0.9520028024228064,0.7906402625357234,0.6983498525209012,0.0999994716198199,129.24670100212097,0.07275223731994629,130.30493187904358
5,STGCN,4,1.573547601699829,0.9521157801160771,0.7944716843451574,0.6532743018216782,0.0999994716198199,126.63307428359985,0.09012293815612793,127.69309282302856
6,STGCN,4,1.5718326568603516,0.9522200999043157,0.7968111906251215,0.6257506985279815,0.0999994716198199,125.23671388626099,0.08417296409606934,126.28941464424133
7,STGCN,4,1.5706831216812134,0.9522899592239231,0.7953266976816596,0.6432153213922395,0.0999994716198199,126.49940228462219,0.07940411567687988,127.54965162277222
8,STGCN,4,1.5690945386886597,0.9523864148959686,0.7927448657067295,0.6735898152149464,0.0999994716198199,128.14074444770813,0.08596062660217285,129.2317454814911
9,STGCN,4,1.5680512189865112,0.9524497143918248,0.7858462019465633,0.7547505653345488,0.0999994716198199,127.55065417289734,0.09055089950561523,128.60844826698303
10,STGCN,4,1.5674095153808594,0.952488624799375,0.7863214876015218,0.7491589693938615,0.0999994716198199,129.67237377166748,0.0884406566619873,130.78186082839966
11,STGCN,4,1.5662720203399658,0.9525575545893011,0.790576268609778,0.6991027222379056,0.0999994716198199,129.19032764434814,0.07117390632629395,130.24461889266968
12,STGCN,4,1.5652893781661987,0.9526170710468985,0.7881423564778343,0.7277369826137152,0.0999994716198199,127.31420278549194,0.08660221099853516,128.30053615570068
13,STGCN,4,1.564061164855957,0.9526913980107522,0.7846983402183839,0.7682548209601889,0.0999994716198199,125.96415662765503,0.0723104476928711,127.01312923431396
14,STGCN,4,1.5632390975952148,0.9527411145697091,0.786488187767877,0.7471977909661529,0.0999994716198199,126.16955137252808,0.08055949211120605,127.22944188117981
15,STGCN,4,1.5621495246887207,0.9528069724853548,0.7919762757823884,0.6826320496189595,0.0999994716198199,126.45478892326355,0.08342289924621582,127.52921485900879
16,STGCN,4,1.5610125064849854,0.9528756425971477,0.7885652569684394,0.7227616827242417,0.0999994716198199,127.98469710350037,0.08382844924926758,129.0189085006714
17,STGCN,4,1.560163974761963,0.9529268670598099,0.7880212574261055,0.7291616773399345,0.0999994716198199,125.82104229927063,0.08323884010314941,126.92504096031189
18,STGCN,4,1.5592130422592163,0.9529842323201448,0.7976512663290429,0.6158674549524357,0.0999994716198199,125.55015754699707,0.08558869361877441,126.6034483909607
19,STGCN,4,1.5583330392837524,0.9530372892841789,0.7864236121611082,0.7479575039869611,0.0999994716198199,124.93153524398804,0.08328866958618164,125.98988819122314
20,STGCN,4,1.5572623014450073,0.9531018015949525,0.78816265431659,0.7274981845107056,0.0999994716198199,124.79269623756409,0.07868170738220215,125.83080840110779
21,STGCN,4,1.5566420555114746,0.9531391539337035,0.7928148903319341,0.672765996094893,0.0999994716198199,124.89610242843628,0.07864737510681152,125.96035289764404
22,STGCN,4,1.5559056997299194,0.9531834703678449,0.7942023863217732,0.6564425138614917,0.0999994716198199,124.03298020362854,0.07941055297851562,125.10938858985901
23,STGCN,4,1.5548923015594482,0.9532444416131659,0.7844623333254627,0.7710313726416156,0.0999994716198199,123.44526863098145,0.08116364479064941,124.52146863937378
24,STGCN,4,1.5539263486862183,0.9533025150865914,0.791157634187877,0.6922631272014468,0.0999994716198199,125.05275511741638,0.0849599838256836,126.08054709434509
