round,arch,n_workers,rmse,r2,gamma,mean_uncertainty,compression_ratio,compute_time,agg_time,elapsed
1,SpatialMamba,2,1.5820200443267822,0.9515987461984302,0.7949378522322043,0.6477899737387735,0.09999789245181619,117.54710245132446,0.012976646423339844,118.5541160106659
2,SpatialMamba,2,1.5779082775115967,0.9518500172520709,0.7909832378342414,0.6943148490089244,0.09999789245181619,118.13721585273743,0.012150049209594727,119.1455569267273
3,SpatialMamba,2,1.5752134323120117,0.9520143403944067,0.7863163857540947,0.7492189911282972,0.09999789245181619,117.73279666900635,0.011439085006713867,118.70182704925537
4,SpatialMamba,2,1.5712194442749023,0.9522573696182061,0.7987058688478059,0.6034603664964011,0.09999789245181619,118.01213192939758,0.012816667556762695,119.02670288085938
5,SpatialMamba,2,1.56730055809021,0.9524952288864444,0.7992269394233141,0.5973301244315974,0.09999789245181619,117.96295213699341,0.013558387756347656,118.9052095413208
6,SpatialMamba,2,1.564194679260254,0.9526833184797441,0.792397904064081,0.6776717168931641,0.09999789245181619,117.59622979164124,0.01403665542602539,118.59187984466553
7,SpatialMamba,2,1.560595154762268,0.952900840228732,0.7946705717860872,0.6509344495754441,0.09999789245181619,118.1307532787323,0.013384580612182617,119.06008553504944
8,SpatialMamba,2,1.556144118309021,0.9531691261018733,0.7949518512024468,0.6476252799712137,0.09999789245181619,117.82269430160522,0.01140904426574707,118.81571245193481
9,SpatialMamba,2,1.5527269840240479,0.9533745698667795,0.7856206978090203,0.7574035551879967,0.09999789245181619,118.50206184387207,0.01312255859375,119.52238774299622
10,SpatialMamba,2,1.5495597124099731,0.9535645893407508,0.7864440979112237,0.7477164951620744,0.09999789245181619,117.7031638622284,0.010965585708618164,118.67396569252014
11,SpatialMamba,2,1.545764446258545,0.953791775247537,0.7902752712710118,0.7026438673998605,0.09999789245181619,118.04039025306702,0.011269092559814453,118.95917534828186
12,SpatialMamba,2,1.5423407554626465,0.9539962452194436,0.7838714990799494,0.7779823637653009,0.09999789245181619,118.18278503417969,0.012709379196166992,119.19373226165771
13,SpatialMamba,2,1.5387457609176636,0.9542104501704575,0.7849086112512653,0.7657810441027615,0.09999789245181619,118.43959832191467,0.011816740036010742,119.41579389572144
14,SpatialMamba,2,1.5354632139205933,0.9544056071402233,0.7885757262347604,0.7226385148851716,0.09999789245181619,118.20649194717407,0.012833118438720703,119.16807150840759
15,SpatialMamba,2,1.5320813655853271,0.9546062232525621,0.7919328660961689,0.6831427518097779,0.09999789245181619,118.08146142959595,0.01161646842956543,118.99994564056396
16,SpatialMamba,2,1.5284169912338257,0.9548231105606564,0.7874763268319903,0.735572625505996,0.09999789245181619,117.79643106460571,0.012672901153564453,118.79719877243042
17,SpatialMamba,2,1.525481939315796,0.9549964486654574,0.7908102338119427,0.6963501904477335,0.09999789245181619,117.74323773384094,0.01070261001586914,118.7437355518341
18,SpatialMamba,2,1.5214619636535645,0.9552333252880326,0.7857119224622359,0.7563303239736954,0.09999789245181619,117.81878852844238,0.01040029525756836,118.79419040679932
19,SpatialMamba,2,1.5175225734710693,0.9554648430982227,0.7845211843406216,0.7703390077573938,0.09999789245181619,117.41528844833374,0.01298832893371582,118.3494234085083
20,SpatialMamba,2,1.5134583711624146,0.9557030741783336,0.7898534298441423,0.7076067077159733,0.09999789245181619,118.52139091491699,0.012514829635620117,119.50787115097046
21,SpatialMamba,2,1.5099223852157593,0.9559098222356814,0.7859423675744256,0.7536192050067578,0.09999789245181619,117.90092635154724,0.010790586471557617,118.90126347541809
22,SpatialMamba,2,1.5058218240737915,0.9561489651401464,0.7897915095367222,0.7083351819209147,0.09999789245181619,118.25417184829712,0.01089787483215332,119.26135301589966
23,SpatialMamba,2,1.501723051071167,0.9563873644208662,0.7893211493899077,0.713868830706967,0.09999789245181619,117.7957854270935,0.012874603271484375,118.76849794387817
24,SpatialMamba,2,1.4985966682434082,0.9565687614004602,0.7832414704104755,0.7853944657591105,0.09999789245181619,117.62599921226501,0.011713027954101562,118.62715268135071
