round,arch,n_workers,rmse,r2,gamma,U,alphas,betas,consensus,stability,progress,worker_losses,elapsed
1,SpatialESN,4,2.526017904281616,0.02351236574935156,0.7585467459857463,1.0759206354618074,"[0.24790928003497362, 0.24790928003497362, 0.2506629787385209, 0.25351846119153193]","[0.7485389239295823, 0.7288393091509203, 0.7406402466471017, 0.711045672961324]","[0.28327688071934937, 0.30954148362822226, 0.26786062182897824, 0.29417202325457376]","[0.08117559610968127, -0.011709809653431541, 0.1010134996925301, 0.08926979848353972]","[0.0, 0.9017478367925309, 0.4082581135063098, 0.8519880299059983]","[0.916189432144165, 0.35231608152389526, 0.45502516627311707, 0.9141165018081665]",21.839337825775146
2,SpatialESN,4,2.5317139625549316,0.0191034235480102,0.7666295063346624,0.9808293372392655,"[0.2503853747939298, 0.24987748603438853, 0.24986856958584083, 0.24986856958584083]","[0.8011479387186996, 0.7736487063378212, 0.7639448960388027, 0.7975118697886441]","[0.16997905038644823, 0.20375737957472814, 0.19080522755656792, 0.1606097121404223]","[0.01756412439456987, 0.0006956501443697101, 0.052735470843565425, 0.12236918126460206]","[0.6920647180270496, 0.25181986749300017, 0.0, 0.0]","[0.1468229740858078, 0.3059319853782654, 0.42288902401924133, 0.5685359239578247]",21.381978034973145
3,SpatialESN,4,2.5273139476776123,0.022509934333208248,0.7655827429622412,0.9931442004442216,"[0.2518915091081268, 0.24936949696395774, 0.24936949696395774, 0.24936949696395774]","[0.7854763849227593, 0.8192995007942733, 0.8382630729904963, 0.8312699109807703]","[0.13673675601504257, 0.10997946216500985, 0.09002173415086878, 0.09034623928900248]","[0.12198705447826153, -0.013455149763831359, -0.07242696642890593, 0.1284981982387359]","[0.6032791650878573, 0.0, 1.024912885345098, 0.0]","[0.6361153721809387, 0.9209290742874146, -0.04197395592927933, 0.4847615957260132]",20.577022314071655
4,SpatialESN,4,2.5164413452148438,0.030902386294898943,0.7716459816232323,0.9218119809031486,"[0.24602446709577605, 0.247907597470828, 0.24737158828675965, 0.25869634714663636]","[0.7927109801626074, 0.7697075428071893, 0.8482505559133591, 0.8108434374638531]","[0.15214661948480177, 0.15951937094326332, 0.1140230745201914, 0.12813066833037087]","[0.05106037061994684, 0.06745533032771422, 0.11696970899904575, 0.1487205019530789]","[0.0, 0.7086244553734489, 0.40942721606917276, 2.635647121188454]","[0.27362358570098877, 0.22131869196891785, 0.5058338046073914, -0.6323635578155518]",21.465779781341553
5,SpatialESN,4,2.4577531814575195,0.07557758743190945,0.7735499094605446,0.8994128298759461,"[0.25, 0.25, 0.25, 0.25]","[0.808875497102349, 0.8182963943704306, 0.8123076135296374, 0.7984239216620465]","[0.13612811871588812, 0.11424898732174212, 0.1192566277672427, 0.13624940317628648]","[-0.02252106576172973, -0.04440348217069161, 0.15178273630121733, 0.06527037420525258]","[0.7489707939229854, 0.7338704925294137, 0.0, 0.0]","[0.47002702951431274, 0.11071021109819412, 0.64729905128479, 1.5738112926483154]",21.052407026290894
6,SpatialESN,4,2.4382805824279785,0.09016776559668904,0.7753820345014334,0.8778584176301957,"[0.250932213163656, 0.2500314793367631, 0.24951815374979044, 0.24951815374979044]","[0.8023918103492854, 0.8286668638371121, 0.8143368641584445, 0.86989145476108]","[0.11644299827865139, 0.07347093104005507, 0.10012771346207865, 0.04481192589885554]","[0.0371243886321522, 0.03268063034319271, -0.026545350421596073, -0.018091947509472007]","[1.307271747674361, 0.8559345593240416, 0.6237281870084872, 0.6764356427479928]","[-0.059734661132097244, 0.12124619632959366, 0.06846540421247482, 0.2858748435974121]",20.635835647583008
7,SpatialESN,4,2.4364171028137207,0.09155795576723191,0.7771416163936257,0.8571574541926384,"[0.24954748591333112, 0.2504104117654473, 0.25049461640789056, 0.24954748591333112]","[0.8442360547146871, 0.7734740505892975, 0.8259896997347245, 0.8399836006996396]","[0.0878510066096362, 0.13318807616243045, 0.12193726120961312, 0.08403545100726695]","[-0.025780368140701615, 0.0349585497177661, 0.0982210708355901, 0.08988849889804217]","[1.2552191983469227, 0.7414006779546394, 0.31629607879730526, 0.0]","[-0.1171761229634285, 0.09383931010961533, 0.49098771810531616, 0.35059642791748047]",21.05781102180481
8,SpatialESN,4,2.4006919860839844,0.11800357607351086,0.7777865267306566,0.8495702737569809,"[0.24965431692998385, 0.2501773367957015, 0.24965431692998385, 0.2505140293443308]","[0.8244409890293822, 0.8034463068476182, 0.8023576394694458, 0.8703950954510943]","[0.11259179665167396, 0.0907949692663419, 0.11963947509857942, 0.06266759353796436]","[-0.011815167730439922, 0.1425294935467378, 0.06321101588882701, 0.07573827926657499]","[0.9213449630816228, 0.1617186585868696, 0.0, 0.7242862314331148]","[0.08322641253471375, 0.481139212846756, 0.6973520517349243, 0.5366339683532715]",21.97780704498291
9,SpatialESN,4,2.398303508758545,0.11975773764592712,0.7772729169547558,0.8556127417087555,"[0.24953630924503087, 0.25117708505369996, 0.24953630924503087, 0.24975029645623834]","[0.8324964317451998, 0.8278025136167643, 0.8280586163143515, 0.863080535892225]","[0.055849599198676575, 0.07893760338685755, 0.0773094794148401, 0.04704834800857801]","[-0.008168070795191334, 0.04156199273376806, 0.07294169536788735, 0.10054747326462599]","[1.120849903206753, 1.9976157298510842, 0.0, 0.18119969071080183]","[-0.08702117949724197, -0.11814995855093002, 1.1351127624511719, 1.1421836614608765]",20.72060513496399
10,SpatialESN,4,2.4236106872558594,0.10108292233728366,0.7826899931192398,0.7918824338912964,"[0.24966045120141786, 0.2510186463957463, 0.24966045120141786, 0.24966045120141786]","[0.8161688517335164, 0.8059456467110496, 0.8557782558533485, 0.88012436126722]","[0.08684673442983032, 0.08318240438996771, 0.042540232124586776, 0.03938010867330541]","[0.009666333359514912, 0.04352900621966983, 0.04155943620565281, -0.009460086965650137]","[0.0, 1.498388283331539, 0.0, 0.0]","[0.6758305430412292, -0.3709373474121094, 0.14659227430820465, 1.5257177352905273]",20.628262758255005
