round,rmse,r2,gamma,U,alphas,betas,consensus,stability,progress,worker_losses,elapsed
1,2.0011849403381348,0.012642389304512669,0.763267464980483,1.0203827649354935,"[0.12322339424429588, 0.12488199598319961, 0.12285269608059844, 0.12285269608059844, 0.12755854130255442, 0.12285269608059844, 0.1258712730926181, 0.12990670713553668]","[0.8242783713955258, 0.9050310363108225, 0.7868067711844294, 0.742220043007475, 0.7859721451508069, 0.9123031704783604, 0.7257600277922744, 0.7871875445590963]","[0.24831973749930497, 0.1429062146327002, 0.2762465934032066, 0.31073770345466556, 0.26802326109439845, 0.15576207264713626, 0.3223646700430566, 0.26595311039792463]","[0.01682256790464419, 0.18436518097953594, -0.017372782360699682, -0.023599540204597917, 0.17042997987545783, -0.026046494616817902, 0.14780785224958384, 0.1932757938086944]","[0.7212390817315454, 0.621826693565941, 0.7014246786425494, 1.3601435015703514, 0.822899102361783, 0.0, 0.5094378088117639, 1.0861483273317036]","[2.5854218006134033, 0.6684975624084473, 0.6963961720466614, -0.4821683168411255, 0.7653983235359192, 0.9028676748275757, 0.5105197429656982, -0.03907091170549393]",137.50098705291748
2,1.9897364377975464,0.023907205327490466,0.7764492698706685,0.8653027074038981,"[0.11311950230490642, 0.11393984949175129, 0.1134758940231647, 0.11311827098716334, 0.1145608171478063, 0.11311827098716334, 0.11311827098716334, 0.20554912407088116]","[0.8679895800396312, 0.86258902319685, 0.8201592668660854, 0.8270137784667583, 0.8416676746238854, 0.8934425813998392, 0.8620767752220821, 0.8523077608682764]","[0.15208852564553915, 0.1663944010676047, 0.20253606465090687, 0.20558242579994795, 0.1712029459287217, 0.11982810296039473, 0.16579661338412552, 0.1617777102224069]","[0.0009148667476705372, 0.05820628453801625, 0.036853631210090415, -0.049626029407875846, 0.11318484804885208, 0.027686888907841666, 0.146305218491379, 0.22820708654271232]","[0.07830320136675842, 0.747198400949718, 0.42288846854792805, 1.8946240789668887, 0.6539479762523351, 0.0, 0.0, 16.17741699259299]","[2.5687317848205566, 0.7418286800384521, 0.5926163196563721, -0.47577089071273804, 0.5807499885559082, 0.7941612005233765, 0.6429216861724854, -0.43639153242111206]",132.80642104148865
3,1.9448659420013428,0.06743442795571719,0.7842552790429443,0.7734673053771257,"[0.12439281365060988, 0.12563463403887112, 0.12439281365060988, 0.12439281365060988, 0.1252190675820935, 0.12439281365060988, 0.12439281365060988, 0.12718223012598606]","[0.8422383400452392, 0.8284544320588311, 0.8580480522744014, 0.8535371213803348, 0.8599052278432446, 0.8908903914348386, 0.8422458327022663, 0.8611771146139137]","[0.16822342125944711, 0.18816079589627283, 0.16521855834741697, 0.17828050790835312, 0.1550120544779719, 0.1095781195067087, 0.1948333760505838, 0.1697428464084754]","[0.009687136757636815, 0.060052809600051216, -0.00016051965558617787, -0.08706976794370985, 0.08912288410785195, 0.06722924783528733, 0.08502386556345942, 0.2155631229574612]","[0.0, 0.8791088051805154, 0.463308253291203, 2.1140127315733963, 0.4792099411495022, 0.0, 0.0, 0.606077061240828]","[2.8555362224578857, 0.6647807955741882, 0.4952525198459625, -0.5451316833496094, 0.6200326681137085, 0.7732045650482178, 0.9731422662734985, -0.29319724440574646]",131.98326325416565
4,1.8349575996398926,0.16985857019645978,0.792796394027397,0.672983599677682,"[0.12420604845403764, 0.12619395577917789, 0.12432105111750638, 0.12420604845403764, 0.1259228318234547, 0.12420604845403764, 0.12420604845403764, 0.12673796746371044]","[0.7871382460410645, 0.7372404385520501, 0.8038414759505548, 0.8473494489497309, 0.8235271457115632, 0.8798050887947414, 0.8658379546595453, 0.9462725707822074]","[0.23954953557240297, 0.2882310343215968, 0.2316924165214509, 0.20276068007321374, 0.21551124437885857, 0.14176896584455143, 0.2005371611675853, 0.13340005827235588]","[-0.02948623191116388, 0.0598825206752754, 0.015696358589101875, -0.0909526958927379, 0.12873465310639404, 0.0758451446282256, 0.19702565057366295, 0.14826877942000882]","[0.0, 0.9199418628127523, 0.2544826248602791, 2.058689045675485, 0.4947928199905365, 0.0, 0.0, 1.0202631064815737]","[3.3930954933166504, 0.5144569873809814, 0.6969286799430847, -0.5012916326522827, 0.5931832790374756, 0.6916439533233643, 1.164139986038208, -0.6268026828765869]",133.78798508644104
5,1.6522091627120972,0.326976713075089,0.7965605228137225,0.6286997316032648,"[0.12431325756845356, 0.12663696722289877, 0.1246335801192855, 0.12431325756845356, 0.12690689459681986, 0.12431325756845356, 0.12431325756845356, 0.12456952778718158]","[0.7693791068089592, 0.7058069637583397, 0.7733328802596096, 0.8319899880292874, 0.8167997620983801, 0.9172973488525387, 0.8457313185306599, 0.9528952658715065]","[0.264644660191494, 0.32571864312873167, 0.26510376053109436, 0.22662197118679672, 0.23588191134689798, 0.12039752470042335, 0.22345530234396316, 0.1420272967396023]","[-0.015035393904892374, 0.060273725841790624, 0.02145860679683199, -0.09546432151339422, 0.16536563453827363, 0.07868191546059464, 0.1821501861954399, 0.18541086538120746]","[0.0, 0.9433356794839931, 0.4523716844507752, 2.169184563989841, 0.5293713832659296, 0.0, 0.0, 0.07820392258440827]","[2.956324815750122, 0.4147724509239197, 0.5337589383125305, -0.5210791230201721, 0.5777794122695923, 0.6098096370697021, 1.3654637336730957, -0.47197282314300537]",142.82682251930237
6,1.408328652381897,0.5110008733132934,0.7985677747510374,0.6050850029289723,"[0.12364270395687808, 0.12608674722441862, 0.12364270395687808, 0.12364270395687808, 0.12716436099666556, 0.12364270395687808, 0.12364270395687808, 0.12853537199452533]","[0.7555856255942066, 0.7182003080651628, 0.7530859244964175, 0.8235415156347295, 0.8164587337319194, 0.9565466946786948, 0.7686880433575134, 0.8946225224304809]","[0.2934979668421823, 0.32731297219530103, 0.29595406168210864, 0.24960728201117255, 0.25265139834362965, 0.12531964121981545, 0.29359145311863294, 0.2008724897629061]","[0.030864954994302484, 0.06278920444984004, -0.011274336696873402, -0.0995313050001195, 0.21573714633077506, 0.03133360737261964, 0.18291097454140798, 0.344143814823516]","[0.0, 0.9524342683856477, 0.542462324107053, 2.3352218591831244, 0.5152516032512934, 0.0, 0.0, 0.5613873234809245]","[2.1867525577545166, 0.34910035133361816, 0.47600606083869934, -0.5057665109634399, 0.5835424661636353, 0.5116820335388184, 1.4998600482940674, -0.7673637866973877]",139.06787180900574
7,1.1906558275222778,0.650479584956861,0.8005562917493284,0.5816906853020192,"[0.12356799524230935, 0.12605632282946352, 0.12462410149308624, 0.12356799524230935, 0.12847167813802654, 0.12356799524230935, 0.12356799524230935, 0.1265759165701863]","[0.7591682474596778, 0.7604525774572902, 0.738075250020297, 0.7397537044138337, 0.8328888466883145, 0.96708627570355, 0.722271443755169, 0.8493295150820983]","[0.3034959730450647, 0.3067237702865682, 0.32370331768251454, 0.3267675505823471, 0.24886546123462447, 0.14086622620509226, 0.340546674213742, 0.23557711319961783]","[0.05937894097777141, 0.0665396944151814, 0.062161135964491264, -0.03697723958811992, 0.24422330721041396, 0.051329786249209725, 0.16740677165491075, 0.17199199689907504]","[0.0, 0.9768705700491345, 0.4229477309109892, 2.797473066040912, 0.6403046408326442, 0.0, 0.0, 0.5935896383359479]","[2.008885383605957, 0.17629709839820862, 0.5147770643234253, -0.5224010944366455, 0.39609313011169434, 0.5066279768943787, 2.1567137241363525, -0.7967842817306519]",141.8949694633484
8,1.048559546470642,0.728927018712169,0.8022498509809375,0.5617664590477943,"[0.12358352604919703, 0.12584241850089595, 0.12358352604919703, 0.12358352604919703, 0.12785797219007924, 0.12358352604919703, 0.12358352604919703, 0.12838197906303964]","[0.7756831825880883, 0.7742336286502858, 0.7789372980388173, 0.7216356785284362, 0.8528630354669289, 0.9129580326487226, 0.7140873655937773, 0.8327230231958984]","[0.29018882624288916, 0.2979382942889644, 0.28776061228640376, 0.3408015488388851, 0.23777438423235556, 0.1839086766779928, 0.3491950212134198, 0.24769814608665014]","[0.07978791912142069, 0.06137585181171813, 0.09274577615463726, -0.006283328442962921, 0.21463767732100164, 0.04726819854352383, 0.16974853602404813, 0.17009187762088543]","[0.0, 0.9905403654491203, 0.0, 3.4861261892755575, 0.6662601408055071, 0.0, 0.0, 0.9041415910149755]","[2.158759593963623, 0.07028837502002716, 0.5996325016021729, -0.5073432922363281, 0.30198603868484497, 0.4471515417098999, 2.867586374282837, -0.9556624889373779]",138.912832736969
9,0.9535421133041382,0.7758288218667357,0.8026433793280273,0.5571367137879133,"[0.12369801317403943, 0.12722342464875988, 0.12369801317403943, 0.12369801317403943, 0.1272535785450113, 0.12369801317403943, 0.12369801317403943, 0.12703293093603157]","[0.7981062227105982, 0.7890956104317008, 0.8353100823897884, 0.7810315355216287, 0.85808669719152, 0.8737700622825485, 0.7667690918681278, 0.850028333263089]","[0.24714274870860878, 0.2612160826798399, 0.21149262724626228, 0.2723450907565514, 0.20093565657986515, 0.18221178634304294, 0.28212840012248097, 0.21108374658148513]","[0.09892322508528532, 0.11077452526022978, 0.10582181042383962, -0.02467235029632204, 0.20260743821615104, 0.036981912195361545, 0.1770251952277834, 0.20849967134469918]","[0.0, 0.9711604005445208, 0.0, 4.568281270288986, 0.6960902155890649, 0.0, 0.0, 0.6044672773880129]","[2.440600633621216, 0.20197036862373352, 0.5138399004936218, -0.5111945271492004, 0.2557756304740906, 0.4101402163505554, 4.743778705596924, -0.814304530620575]",139.23332238197327
10,0.8919394016265869,0.8038579312564675,0.8033724090825766,0.5485598931461573,"[0.1237853038008672, 0.12789956115796533, 0.1237853038008672, 0.1237853038008672, 0.1269457657781358, 0.1237853038008672, 0.1237853038008672, 0.1262281540595628]","[0.8513571533892562, 0.7855816753309134, 0.851076512288054, 0.8045616172016696, 0.8718246149574043, 0.8789556401694856, 0.8130414598411988, 0.8365810896437439]","[0.17835817574082483, 0.2452646716503276, 0.18063415702049831, 0.23629504674299703, 0.17056135073373754, 0.15432707874446788, 0.22352221961961888, 0.20361281996662733]","[0.11470569234485566, 0.13734783304182513, 0.09126470280347612, -0.004658292274324125, 0.2062497204587036, 0.06124066780383594, 0.2112897176666981, 0.26503091992814154]","[0.0, 0.9706135799493998, 0.0, 6.354314268923452, 0.7166739053904685, 0.0, 0.0, 0.36213944871587594]","[2.496798276901245, 0.19192731380462646, 0.581693708896637, -0.6281493902206421, 0.2312643676996231, 0.4496653378009796, 5.461587429046631, -0.6837634444236755]",138.29464983940125
