round,rmse,r2,gamma,U,alphas,betas,consensus,stability,progress,worker_losses,elapsed
1,2.00570011138916,0.0081818477991078,0.767514710394293,0.9704151718318462,"[0.24519998781621233, 0.24400561679990887, 0.24742162853224217, 0.2633727668516367]","[0.7583036721589483, 0.8291759725383305, 0.7482905998781741, 0.731794278361414]","[0.23945306645773576, 0.11903570284320164, 0.2460487702849773, 0.25021080260081857]","[0.027376319736991367, 0.17285032063004624, 0.062387035494711515, 0.13964402797090902]","[0.7448762245519719, 0.0, 0.9056948076385881, 2.1859813151424485]","[2.5180728435516357, 0.9636133909225464, 0.2907674014568329, -1.02643620967865]",67.88508987426758
2,1.9994956254959106,0.014308584089567478,0.7764322869479656,0.8655025064945221,"[0.24786504573237017, 0.24993382011695459, 0.2500027043302554, 0.2521984298204198]","[0.8087195590925896, 0.7682692142501415, 0.7890265228769288, 0.8012672537343284]","[0.1338119955741627, 0.1848605250465274, 0.185140659340955, 0.15460533353089012]","[0.032102116961921605, 0.11910573351476021, 0.061319037366347286, 0.030191055715055152]","[0.1538272969828186, 0.40750952197160367, 0.8146201915217242, 3.854696044464254]","[2.474752902984619, 0.8569266200065613, 0.24788044393062592, -1.1968410015106201]",72.02161908149719
3,1.9440209865570068,0.06824461469969878,0.7813212184958159,0.807985664755106,"[0.24480739872463742, 0.24729047057143233, 0.2473670691994108, 0.26053506150451955]","[0.7542647456070226, 0.7625353858571018, 0.7498829157172431, 0.8222527052702042]","[0.20811578962902266, 0.2360139514881503, 0.23208808860285934, 0.14668576346890339]","[0.04691335763264748, 0.0715534946640533, 0.052303409303973154, 0.08918408965691894]","[0.0, 0.597590090915421, 0.8568729970588749, 4.759632229934624]","[2.6001222133636475, 0.9559597373008728, 0.19479699432849884, -1.2190637588500977]",67.22273707389832
4,1.7743306159973145,0.22380806880688564,0.7860687979578972,0.7521317887306213,"[0.23745809753013833, 0.24273191056721308, 0.2422208036848421, 0.27758918821780637]","[0.6772693758449438, 0.6385985598209151, 0.7146522043908222, 0.8726941522473751]","[0.3291065518745078, 0.3745381420916923, 0.3139687591032187, 0.19910379520648006]","[0.005254043226888682, 0.07910625278434259, 0.07359804096640843, 0.10353210106164083]","[0.0, 0.7413996931993087, 0.859399242927342, 7.575137513530262]","[2.6964476108551025, 0.8067591190338135, 0.20345160365104675, -1.2587165832519531]",69.30945086479187
5,1.6504392623901367,0.3284178643468406,0.7910005924977362,0.6941106764972209,"[0.08678212272732193, 0.08800185477813663, 0.08807549932202229, 0.7371405231725192]","[0.6697606420197445, 0.6537804644258675, 0.7275823569161848, 0.9041848831348669]","[0.32682263873235246, 0.3514706152243541, 0.277224723639829, 0.1715418261075723]","[-0.006464703074251595, 0.04920608674763412, 0.06035624479096049, 0.20273728876879993]","[0.0, 0.8070349168133333, 0.8841469821353944, 61.51539887317249]","[2.8273606300354004, 0.7095723152160645, 0.1831444948911667, -1.283618450164795]",71.36993956565857
6,1.3517484664916992,0.549503102267342,0.7935894743420183,0.663653243035078,"[0.2340125655731521, 0.2397254557458712, 0.23960223483000978, 0.2866597438509669]","[0.6161067352427386, 0.6248636400096735, 0.6802172372701981, 0.9040882486037716]","[0.40982915633802186, 0.41317579309509694, 0.3592164789311831, 0.24300047939141375]","[0.047651184689282, 0.06371807055007275, 0.06999867442588215, 0.08288063050003702]","[0.0, 0.9161601063046552, 0.9387827989711643, 10.075512217420703]","[2.4844605922698975, 0.6076035499572754, 0.14073047041893005, -1.3878133296966553]",70.85130071640015
7,1.14487624168396,0.6768403740251785,0.7976694249294698,0.6156538243591786,"[0.24403840358958784, 0.2512397685435174, 0.24403840358958784, 0.26068342427730684]","[0.697009921334715, 0.6635766252143558, 0.7625939296364243, 0.8151549052019231]","[0.30426808627710805, 0.3441766714673992, 0.2785655288873045, 0.20591631394249132]","[0.06932492576085238, 0.0960242153906675, -0.005098586068189636, 0.08650782188961818]","[0.0, 0.8799625470622018, 0.9028061594702332, 3.7040232108683]","[2.1152665615081787, 0.5432987213134766, 0.1939375400543213, -0.7364130020141602]",69.7107424736023
8,1.0319403409957886,0.7374517174070445,0.7986217755660414,0.6044496992230415,"[0.23510299275659352, 0.23907853483664074, 0.2359174728467684, 0.2899009995599973]","[0.7551149096432117, 0.6805315364394152, 0.7836509133332069, 0.8171799609365077]","[0.2247235105729274, 0.3069741664582811, 0.22939600331267154, 0.1588052713923772]","[0.0534729281250702, 0.06356804139065765, 0.017691733032951004, 0.19961893821225388]","[0.0, 0.859313223058752, 0.8521502094172378, 6.609218989581678]","[1.8432409763336182, 0.6087443828582764, 0.2707477807998657, -1.291622281074524]",72.78951072692871
9,0.942255973815918,0.7811039892894037,0.8002562438011169,0.58522066116333,"[0.24473195137195902, 0.2510361562061951, 0.24504805031097976, 0.25918384211086604]","[0.7762018231396538, 0.707946122848763, 0.7929941732433189, 0.8458134694822756]","[0.17704693858682288, 0.2636096405444824, 0.17962391333452843, 0.11405868708702116]","[0.05656530023566567, 0.10897065581636389, 0.008917177478156305, 0.11154518087467385]","[0.0, 0.8853896744261792, 0.8058678797504507, 4.509586289809523]","[1.6687053442001343, 0.48817360401153564, 0.2998746335506439, -1.050428867340088]",70.2061505317688
10,0.8842498064041138,0.8072253263413096,0.8017694639433175,0.5674180712550878,"[0.2463437401072309, 0.2534626995591271, 0.24704772207922504, 0.253145838254417]","[0.7811191029807842, 0.7324948445842483, 0.800218999024572, 0.8737757821357335]","[0.15812188040784644, 0.22787183106815853, 0.14503426640714367, 0.06453309333201591]","[0.06841209001414948, 0.13470636753142165, 0.02482753115273872, 0.08588459850455135]","[0.0, 0.9281013929248405, 0.7924968811320351, 4.91445875100395]","[1.6501750946044922, 0.30836859345436096, 0.2980654239654541, -1.060893177986145]",69.60860800743103
11,0.8404126167297363,0.825865358520049,0.8028762714467943,0.5543968065083027,"[0.2460730398065182, 0.25161696099397485, 0.24630338646722028, 0.25600661273228675]","[0.8264458462502469, 0.756411285256806, 0.8223903317985883, 0.8718247479875404]","[0.09460911659000211, 0.17846593349807663, 0.09782250806593007, 0.03236174392271862]","[0.06114011219464957, 0.13022459331384234, 0.012265836220392299, 0.13662626343777307]","[0.0, 0.9586453039393545, 0.7798002729795255, 8.950628601405082]","[1.7492700815200806, 0.1687268316745758, 0.2864415645599365, -1.3983793258666992]",72.74852228164673
12,0.7775816321372986,0.8509294011186568,0.804241252797097,0.5383382023870945,"[0.2465479498715348, 0.25043993262392406, 0.2465479498715348, 0.25646416763300633]","[0.8609331824602332, 0.789039319615519, 0.8311247855825974, 0.8590208950047978]","[0.05043885293849404, 0.13373450440677115, 0.0626868997823531, 0.028299075300942528]","[0.08057947248802984, 0.12230414570611503, -0.004711122039283963, 0.16828275860561637]","[0.0, 0.9575900110062432, 0.7966977861675445, 8.280224573593713]","[1.8032013177871704, 0.17594367265701294, 0.24278980493545532, -1.3731489181518555]",71.29183602333069
13,0.7470743060112,0.8623970835985866,0.8051039715062828,0.5281885705143213,"[0.2495386031302314, 0.25138419060930584, 0.2495386031302314, 0.2495386031302314]","[0.88417463304896, 0.8287476980321877, 0.8486465921967781, 0.8723912597720227]","[0.0015861617720613296, 0.06294006626155925, 0.013969701895700784, -0.008030933227224594]","[0.07201661191193527, 0.12254989016869919, -0.008724710032725538, 0.11118516142351656]","[0.0, 0.9553362760976689, 0.7194659692195317, 10.571368899046082]","[1.8944393396377563, 0.178813636302948, 0.3126414716243744, -1.4904592037200928]",68.47890758514404
14,0.717956006526947,0.8729146043007464,0.8059407763406634,0.5183438077569008,"[0.24985208074843004, 0.2504437577547099, 0.24985208074843004, 0.24985208074843004]","[0.8873770585392856, 0.8372128389671792, 0.8594847228387674, 0.8865334597024864]","[-0.01235186291384704, 0.03262019254416757, -0.005572791383515512, -0.028012177439885832]","[0.12618778187985016, 0.07621314613916637, 0.011628724029097042, 0.11573092653284725]","[0.0, 0.9514225174414643, 0.6561139773337368, 8.638214278506716]","[1.6897308826446533, 0.20177052915096283, 0.3465273678302765, -1.3779140710830688]",72.43307423591614
15,0.6991935968399048,0.8794700782039377,0.8072660158641637,0.5027527545392513,"[0.249969228942958, 0.250092313171126, 0.249969228942958, 0.249969228942958]","[0.8820549965171963, 0.8461747869570827, 0.8740273841472496, 0.9029529569457717]","[-0.033758672221845226, 0.006763365878930314, -0.02114984025394982, -0.04667322099816165]","[0.1212038601628574, 0.07593229897094309, 0.003832863988923502, 0.1096624498528916]","[0.0, 0.9585799615206484, 0.7021309483402136, 16.563253491410414]","[1.607110857963562, 0.17296083271503448, 0.2674509286880493, -1.4597597122192383]",69.05293321609497
