round,arch,n_workers,rmse,r2,gamma,U,alphas,betas,consensus,stability,progress,worker_losses,elapsed
1,DeepESN,8,2.4633500576019287,0.07136255574304606,0.7697992378041149,0.9435383787751198,"[0.12492211562866261, 0.12484136582069393, 0.1240478978125892, 0.12322974468649744, 0.12854838273269717, 0.1279510039458648, 0.12322974468649744, 0.12322974468649744]","[0.7022648462724006, 0.6608647792004632, 0.672416140900037, 0.6792879101440997, 0.655963246433255, 0.6828205989466645, 0.7202386057578241, 0.7394411773567232]","[0.4456003577414331, 0.48111352355382797, 0.47460380360567306, 0.4668206703649133, 0.4817194370520893, 0.4576717549731087, 0.4334073749322823, 0.4181936114806143]","[0.0698498269747432, 0.03827251308102117, 0.03805364199725443, 0.07290741703176287, 0.09345221669669808, 0.15282780023606965, 0.15000158204453068, 0.11187342345278094]","[0.4382321207115973, 0.7056488828603122, 0.3663992168522074, 0.0, 0.9386277062126991, 0.5375220574887271, 0.0, 0.0]","[0.5193786025047302, 0.9229174852371216, 1.2444111108779907, 1.1688989400863647, 0.07515022903680801, 0.3416094481945038, 0.8931629657745361, 0.7757695317268372]",37.12461876869202
2,DeepESN,8,2.4392387866973877,0.08945258825699431,0.7783216269753873,0.8432749767601491,"[0.1261546671101894, 0.12478382258478035, 0.12478032281001926, 0.12478032281001926, 0.12515989625493387, 0.12478032281001926, 0.12478032281001926, 0.12478032281001926]","[0.8353446844409157, 0.7674677434542382, 0.8220605849004158, 0.8369143715744586, 0.8048306336183741, 0.8134985395366824, 0.8386960246532313, 0.8450480574532392]","[0.21895543372875534, 0.2794741520840096, 0.22860014828571376, 0.212469292789938, 0.24145245973037863, 0.23465201021683574, 0.21969740850526318, 0.20731278488902458]","[0.04975885813215734, 0.00013699689370564837, 0.14351688379687022, 0.10019606765979125, 0.10280080095464234, 0.1332118503396346, 0.10071177771785807, 0.041817140323165816]","[1.0054093610825494, 0.7328082493714861, 0.0, 0.0, 0.1223667152688187, 0.0, 0.0, 0.0]","[-0.005419561639428139, 0.12128029763698578, 1.5817558765411377, 0.9406071901321411, 0.4305102527141571, 0.7893882989883423, -0.13290755450725555, 0.7947345972061157]",37.82476997375488
3,DeepESN,8,2.4101600646972656,0.11103288545443324,0.7838855320997535,0.7778172694146633,"[0.1247230001500661, 0.12465911604187817, 0.12537034379479275, 0.12485361341927277, 0.12437895067183101, 0.12464326462227127, 0.1271871713022722, 0.12418453999761565]","[0.8616102739903474, 0.8188790261676795, 0.8354599533475346, 0.8748324864124043, 0.8424814572256597, 0.8652925857468856, 0.9127918589290409, 0.9333381677165956]","[0.14227446952475714, 0.18813740656055053, 0.1759257044779091, 0.13250758338585342, 0.16760221307143905, 0.12662046616379158, 0.09741492956046795, 0.08001510647204411]","[0.033234843934865865, 0.05979657498541522, 0.13913222239935116, 0.08431956266300732, 0.05563567796105696, 0.0665972081506526, 0.052719877979437904, 0.008737384929359958]","[0.9150115479204298, 0.3390466339571753, 0.3882607270210485, 0.48091758848926924, 0.16775771196895126, 0.43724502857091296, 4.651965907441131, 0.0]","[0.2472231239080429, 1.151763677597046, 0.5252555012702942, 0.14036813378334045, 0.26763075590133667, 0.39035850763320923, -1.0979013442993164, 0.9251093864440918]",37.3439519405365
4,DeepESN,8,2.393690586090088,0.12314052334915537,0.7897418997786939,0.7089188261330128,"[0.125512377164353, 0.124851853920394, 0.124851853920394, 0.12515561399173675, 0.12486870369129095, 0.12505588947104335, 0.124851853920394, 0.124851853920394]","[0.9043023995881564, 0.8598749171466378, 0.8698750995288269, 0.8936780390241665, 0.8567895648849267, 0.8672419922554908, 0.9144100013966412, 0.9309608857336127]","[0.09099335878804381, 0.1216819195029983, 0.11546964796292566, 0.08883313204174373, 0.13408821759067013, 0.12099851828837924, 0.07704159506095565, 0.06205957630029552]","[0.05519479414078987, 0.09731966168095861, -0.004917224831020014, 0.035660429308641786, 0.08313296632982363, 0.0190419377082488, 0.04314194078512836, 0.16225749627395394]","[1.0506058990437281, 0.0, 0.42437397199990634, 0.7670932466899485, 0.012107040256830131, 0.7087085807689099, 0.0, 0.0]","[-0.03639728203415871, 0.9642645716667175, 0.2050592303276062, 0.14947859942913055, 0.6492089033126831, 0.4968155324459076, 1.264709234237671, 0.7055766582489014]",37.42410445213318
5,DeepESN,8,2.3621304035186768,0.14611045028212988,0.7938170660872013,0.6609756930917501,"[0.12468435931493259, 0.1264429653881219, 0.1254508787222826, 0.12468435931493259, 0.12468435931493259, 0.12468435931493259, 0.12468435931493259, 0.12468435931493259]","[0.9200453758460383, 0.8735376986227409, 0.8800687962238821, 0.9125928386513823, 0.8829399207161189, 0.8918696881084784, 0.8934673564323666, 0.8987646055251645]","[0.03678812578205517, 0.1008932819717858, 0.09834513864553018, 0.08938654751016553, 0.10641054216280328, 0.09233365478294267, 0.08775560253001573, 0.09317116982220343]","[0.04057816154718001, 0.11376228577666368, 0.08945458692641577, 0.05321503719923929, 0.07829165504997657, 0.006570730283112009, 0.23741777898041125, -0.053756419527854614]","[0.0, 1.220257384858804, 0.6966663430121368, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.600533962249756, -0.1323857307434082, 0.24413034319877625, 1.0851800441741943, 0.13008391857147217, 0.9439301490783691, 1.1983213424682617, 0.7773333191871643]",37.486812114715576
6,DeepESN,8,2.37416410446167,0.13738815118344638,0.7980847519025207,0.6107676246762276,"[0.12493293810882838, 0.12493293810882838, 0.12493293810882838, 0.12493293810882838, 0.12493293810882838, 0.12493293810882838, 0.12543677249126986, 0.1249655988557599]","[0.8996464042946402, 0.9115183617204039, 0.8971082174710099, 0.8966432846990128, 0.8819651529935576, 0.8787683323018788, 0.9242516545526683, 0.9487788049225228]","[0.07224298050611584, 0.061891412902215164, 0.07775220548409918, 0.07797693656910923, 0.08158846876491, 0.0897631244421484, 0.03518642554680497, 0.01803350267177759]","[0.023443373048132963, 0.049746442603018935, -0.013795075519099075, 0.011327567210434842, 0.15571677858213737, 0.05805007109086465, 0.06353651106620352, 0.07808240627253521]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8002762863896382, 0.18564178448581659]","[0.5875049829483032, 1.1990599632263184, 0.8180871605873108, 1.5034973621368408, -0.08190218359231949, 0.6352487206459045, -0.754118800163269, 0.6860091090202332]",37.10799837112427
7,DeepESN,8,2.370537042617798,0.14002188436432483,0.8016785439737141,0.5684877179563046,"[0.12489634581172844, 0.12489634581172844, 0.12489634581172844, 0.12497320431991638, 0.12538956051251185, 0.12489634581172844, 0.12489634581172844, 0.12515550610892945]","[0.9275784125622104, 0.8714096088891882, 0.8909175314644212, 0.902543537281107, 0.8918248748585087, 0.912229949694457, 0.91697372155807, 0.9280743131714045]","[0.040567519273252674, 0.09367651574069505, 0.07473043210346404, 0.08382482069769624, 0.08294037565939684, 0.062024587262720865, 0.03800264934841642, 0.04367954078822637]","[-0.035245336367712654, -0.018302615705925847, -0.0027845274339136743, 0.027384041690278804, 0.043754423527959996, -0.032821530374389785, 0.18039097492072279, 0.05078912018234479]","[0.4792224753605631, 0.5778872960257501, 0.1235570333137867, 0.268006609190475, 1.0860337282228818, 0.0, 0.0, 0.9343764560288692]","[0.44632843136787415, 0.5806286334991455, 0.5628389716148376, 1.126913070678711, -0.04151076823472977, 0.9850229620933533, 0.8332991003990173, 0.08176574856042862]",37.787585973739624
8,DeepESN,8,2.3624167442321777,0.14590340068226182,0.8040633765455335,0.5404308641701937,"[0.1249661310400396, 0.1249661310400396, 0.1249661310400396, 0.1249661310400396, 0.1249661310400396, 0.12501190373557797, 0.1251324805067207, 0.12502496055750337]","[0.9098933312431355, 0.8896692897867643, 0.9194553331880901, 0.8995803816508957, 0.8905900157291184, 0.9004224939583219, 0.9264301258617609, 0.9403404130558808]","[0.032339860827372106, 0.07387478262317218, 0.04529210441849259, 0.06854601508989502, 0.08571744964342684, 0.07108200561015834, 0.03694227069883704, 0.031186977425180704]","[0.10667667119108977, 0.022155427469144447, 0.017703761949362188, -0.02781650801907154, -0.012603826222990458, 0.004538722866398157, 0.042012349093152185, 0.023392191845315075]","[0.0, 0.0, 0.0, 0.0, 0.3370709084558888, 1.135149755170158, 0.8571225176901734, 0.6451575461250014]","[0.9159924387931824, 0.9194283485412598, 0.8126744031906128, 0.6738629937171936, 0.5782456398010254, -0.07771927118301392, 0.0056051937863230705, 0.25590115785598755]",39.32277989387512
9,DeepESN,8,2.357739210128784,0.1492823256109963,0.8069947300545871,0.505944352298975,"[0.12498000583387911, 0.12543653317633913, 0.12480335619338258, 0.12499121518715595, 0.12480335619338258, 0.12480335619338258, 0.12537882102909545, 0.12480335619338258]","[0.9200390029681839, 0.8886173074080086, 0.9099557576048767, 0.9184034898033271, 0.8991482101948909, 0.900017035818597, 0.9111005992476631, 0.8934347616599693]","[0.055032785113218664, 0.07723500637900806, 0.05409614751214466, 0.05526464700749441, 0.079004321815748, 0.07143641706146611, 0.04855102855843311, 0.07459561607737854]","[0.08348086617977314, 0.061710360728430835, 0.046181430252834624, 0.06508986382263192, 0.10866466108863067, 0.11445024980840178, 0.08348099312422987, -0.019162419760353575]","[0.30787466396219965, 1.0617642260783429, 0.0, 0.4181395018272567, 0.0, 0.0, 1.1350319506767828, 0.0]","[0.5646331310272217, -0.039606623351573944, 0.5682122111320496, 0.3639504909515381, 1.3598896265029907, 0.517478883266449, -0.009985570795834064, -0.2520208954811096]",38.70010805130005
10,DeepESN,8,2.345118522644043,0.158365544854292,0.8073721934083848,0.5015036069601775,"[0.12473644053897888, 0.12486775070730219, 0.12486897483492997, 0.12473644053897888, 0.1258637206627933, 0.12544450151546654, 0.12473644053897888, 0.12474573066257134]","[0.9203336825130098, 0.9135721709592979, 0.9140592832562653, 0.9167104591184504, 0.9059337786941213, 0.901943010442354, 0.8969358699421698, 0.9499194448090704]","[0.048287112747349016, 0.050571227417381404, 0.06054012978564479, 0.046503788319225935, 0.05536629793359677, 0.046025958567370504, 0.049027155652279615, 0.009966738306157562]","[0.06850345887602641, 0.02554359030842874, 0.024078702495612885, -0.02795367277528666, 0.13905978809135786, 0.16052433585553033, 0.15417552746557114, 0.01305691159591571]","[0.0, 0.8145077357764162, 0.7285040482713419, 0.0, 1.1685219173968315, 0.7661338209987691, 0.0, 0.5723698694992028]","[2.685460329055786, 0.25743046402931213, 0.039470087736845016, 3.972038745880127, -0.19303078949451447, 0.5200183391571045, 0.6677367687225342, 0.19448527693748474]",39.32681703567505
