round,arch,n_workers,rmse,r2,gamma,mean_uncertainty,worker_uncertainties,worker_angle_scales,alphas,betas,worker_losses,elapsed
1,SpatialMamba,2,1.586478590965271,0.9513255470969731,0.0009152604749670952,0.8473952503290483,"[0.8198434715475562, 0.8749470291105402]","[2.234197269692362, 1.9462340660431232]","[0.5, 0.5]","[0.7242491362638872, 0.6925108863280296]","[1.0097969770431519, 0.4724457859992981]",72.85415148735046
2,SpatialMamba,2,1.5864734649658203,0.9513258657928639,0.0009208911227314638,0.7910887726853617,"[0.7299008480128809, 0.8522766973578425]","[1.6953861197531215, 2.085250785046204]","[0.5014362187136079, 0.49856378128639206]","[0.800187576004463, 0.6366162958129218]","[0.5732437968254089, 0.9801079034805298]",72.40048170089722
3,SpatialMamba,2,1.586470127105713,0.9513260694041275,0.0009211929714070759,0.7880702859292406,"[0.7578524403932531, 0.8182881314652279]","[1.9462340660431239, 1.8164851283069166]","[0.5, 0.5]","[0.7386585150964423, 0.6772145937315962]","[1.1945726871490479, 0.31659048795700073]",72.62213397026062
4,SpatialMamba,2,1.5864651203155518,0.9513263762964667,0.0009168985101791048,0.8310148982089527,"[0.7969993190560837, 0.8650304773618216]","[1.9462340660431239, 2.234197269692362]","[0.5001110994371308, 0.4998889005628691]","[0.77482471320479, 0.6536795065658058]","[0.1667705476284027, 0.24658362567424774]",72.50006461143494
5,SpatialMamba,2,1.5864592790603638,0.9513267363047877,0.0009216777058366505,0.7832229416334957,"[0.727034362475831, 0.8394115207911605]","[2.085250785046205, 1.816485128306916]","[0.4995405692494255, 0.5004594307505745]","[0.683686785114225, 0.7316510318107047]","[0.3280479311943054, 0.07403731346130371]",73.47643733024597
6,SpatialMamba,2,1.586454153060913,0.9513270461480149,0.0009149524581276262,0.8504754187237373,"[0.8583133166425447, 0.8426375208049298]","[1.946234066043124, 2.2341972696923618]","[0.5, 0.5]","[0.7478187739375567, 0.6724007279402314]","[0.7507526874542236, 0.663611114025116]",72.4177360534668
7,SpatialMamba,2,1.5864496231079102,0.9513273264823632,0.0009225647014105993,0.7743529858940078,"[0.7897345635314312, 0.7589714082565844]","[1.8164851283069163, 1.582360378436246]","[0.5, 0.5]","[0.6609079551284883, 0.7661586282606784]","[0.07210447639226913, 0.21373876929283142]",72.42200231552124
8,SpatialMamba,2,1.5864453315734863,0.9513275891113843,0.0009220067536602083,0.7799324633979177,"[0.7670170845105508, 0.7928478422852845]","[2.085250785046204, 1.946234066043125]","[0.5, 0.5]","[0.7072052511564352, 0.7072809475923229]","[6.973054885864258, 2.692699909210205]",72.80384397506714
9,SpatialMamba,2,1.5864406824111938,0.9513278753475084,0.000920842093651943,0.7915790634805692,"[0.7142628265284392, 0.8688953004326991]","[1.9462340660431257, 3.0]","[0.5, 0.5]","[0.9735558917761417, 0.582416359379672]","[0.9029858112335205, 1.4031157493591309]",72.76605486869812
10,SpatialMamba,2,1.5864359140396118,0.9513281674854082,0.0009142345792716326,0.8576542072836746,"[0.8406138353583249, 0.8746945792090242]","[1.6953861197531215, 2.0852507850462056]","[0.5, 0.5]","[0.7904218245832653, 0.6448206653850332]","[1.8244941234588623, 3.60441255569458]",72.32323956489563
11,SpatialMamba,2,1.586431622505188,0.9513284330653171,0.0009193488253715466,0.8065117462845346,"[0.7248169734070362, 0.8882065191620329]","[1.9462340660431245, 1.6953861197531217]","[0.5, 0.5]","[0.6968737956283527, 0.7193799921473379]","[0.18206407129764557, 0.760083794593811]",72.91410231590271
12,SpatialMamba,2,1.5864267349243164,0.9513287311049928,0.0009198383489992046,0.8016165100079536,"[0.776253083882559, 0.8269799361333483]","[1.8164851283069163, 1.9462340660431232]","[0.4998291218655109, 0.5001708781344891]","[0.7280649615042785, 0.687375145568088]","[0.6490150690078735, 0.17979854345321655]",72.6405839920044
13,SpatialMamba,2,1.5864211320877075,0.9513290763588744,0.0009175487634392054,0.824512365607945,"[0.7925275530504569, 0.8564971781654332]","[2.4426354989347985, 1.8164851283069166]","[0.5, 0.5]","[0.6767643036521066, 0.7437117362438019]","[0.6237598061561584, 3.3394668102264404]",72.05121445655823
14,SpatialMamba,2,1.5864170789718628,0.9513293242334562,0.0009222008414512491,0.7779915854875086,"[0.7305222920910935, 0.8254608788839235]","[1.5823603784362466, 2.2341972696923618]","[0.5014654752242136, 0.4985345247757864]","[0.883849820125461, 0.6035806924930305]","[0.12637168169021606, 0.27499300241470337]",73.18243384361267
15,SpatialMamba,2,1.5864121913909912,0.9513296222731318,0.0009179346371460995,0.8206536285390055,"[0.7893049051965422, 0.8520023518814688]","[1.8164851283069163, 2.2341972696923635]","[0.5, 0.5]","[0.773203755436109, 0.6536515374886104]","[1.5209938287734985, 2.927149772644043]",72.41784024238586
16,SpatialMamba,2,1.5864067077636719,0.9513299616252376,0.0009231665295467519,0.7683347045324807,"[0.7168612124055429, 0.8198081966594184]","[1.8913839320146986, 1.9462340660431245]","[0.5, 0.5]","[0.7541437133431413, 0.668200557893178]","[3.4976396560668945, 2.096450090408325]",72.37915539741516
17,SpatialMamba,2,1.5864019393920898,0.9513302478613617,0.0009209008816464718,0.790991183535282,"[0.7560347337851431, 0.8259476332854209]","[1.891383932014698, 1.6953861197531213]","[0.5, 0.5]","[0.7192444520109177, 0.6962030811711742]","[0.23666007816791534, 0.17055800557136536]",72.63846182823181
18,SpatialMamba,2,1.5863962173461914,0.9513305990170191,0.0009225047127377388,0.774952872622612,"[0.7104108055759972, 0.8394949396692267]","[1.8164851283069163, 2.234197269692364]","[0.5, 0.5]","[0.7725539614169918, 0.6573447816691709]","[0.5601210594177246, 1.73264741897583]",72.98003339767456
