arch,n_workers,round,global_rmse,global_r2,uncertainty_U,gamma,round_time_s,ideal_worker_time_s,worker_1_loss,worker_1_alpha,worker_1_beta,worker_1_stability,worker_1_progress,worker_1_consensus,worker_2_loss,worker_2_alpha,worker_2_beta,worker_2_stability,worker_2_progress,worker_2_consensus,worker_3_loss,worker_3_alpha,worker_3_beta,worker_3_stability,worker_3_progress,worker_3_consensus,worker_4_loss,worker_4_alpha,worker_4_beta,worker_4_stability,worker_4_progress,worker_4_consensus,worker_5_loss,worker_5_alpha,worker_5_beta,worker_5_stability,worker_5_progress,worker_5_consensus,worker_6_loss,worker_6_alpha,worker_6_beta,worker_6_stability,worker_6_progress,worker_6_consensus,worker_7_loss,worker_7_alpha,worker_7_beta,worker_7_stability,worker_7_progress,worker_7_consensus,worker_8_loss,worker_8_alpha,worker_8_beta,worker_8_stability,worker_8_progress,worker_8_consensus
STGCN,4,17,0.6852,0.9282,0.8628,0.6213,24.82,6.2,-0.0571,0.2494,0.8119,0.0951,0.0,0.1253,-0.1372,0.2494,0.8243,-0.0025,1.2417,0.1221,-0.2674,0.2501,0.8102,0.0117,2.5861,0.0994,-0.6545,0.2511,0.8236,0.0549,1.2962,0.0963,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,4,18,0.7072,0.9235,0.8505,0.6222,24.08,6.02,0.8873,0.25,0.8282,0.1065,0.0,0.0969,0.9165,0.25,0.7777,0.0625,0.0,0.1364,0.4254,0.25,0.8386,0.0384,0.0,0.0874,0.1728,0.25,0.8638,0.1972,0.0,0.0296,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,8,1,2.5463,0.0078,1.0501,0.7607,46.31,5.79,0.3347,0.1247,0.917,0.0902,0.0,0.1302,1.0265,0.1247,0.7987,0.1394,0.0,0.2546,0.7886,0.1266,0.7772,0.1007,0.5295,0.2747,1.6496,0.1247,0.82,0.1799,0.0,0.2314,0.9382,0.1247,0.7935,0.0606,0.0,0.2629,1.049,0.1247,0.8102,0.0841,0.0,0.2381,1.321,0.1247,0.7798,-0.0211,0.5295,0.2731,0.6529,0.1251,0.8292,0.0643,0.2268,0.2297
STGCN,8,2,2.5311,0.0196,1.0555,0.7603,46.81,5.85,0.7836,0.1243,0.8624,0.0225,0.1477,0.1963,0.6247,0.1242,0.8087,0.0013,0.0,0.2442,1.4906,0.1242,0.869,0.094,0.0,0.1804,0.5045,0.1247,0.7841,0.0885,0.1802,0.2645,1.129,0.1242,0.7799,0.1064,0.0,0.2734,0.6399,0.1256,0.7764,0.0625,0.6651,0.2715,0.2156,0.1273,0.834,0.1584,0.6904,0.2256,0.1861,0.1255,0.8213,0.0457,0.9443,0.2418
STGCN,8,3,2.4498,0.0815,1.0361,0.7619,47.54,5.94,0.4408,0.1244,0.8128,0.06,0.5181,0.2407,0.4933,0.1252,0.8278,0.1077,0.5689,0.2323,0.2526,0.1247,0.866,0.0757,0.6743,0.1987,0.5419,0.1243,0.7839,0.1061,0.2601,0.2631,0.0712,0.1279,0.8043,0.1672,0.8927,0.2391,0.139,0.1234,0.8317,0.0593,0.0,0.1975,1.4084,0.1234,0.8169,0.0068,0.0,0.228,0.0971,0.1267,0.8558,0.1794,0.707,0.205
STGCN,8,4,2.1991,0.2599,1.0187,0.7634,47.35,5.92,0.6173,0.1245,0.7484,0.073,0.1338,0.3465,0.5342,0.1263,0.7368,0.112,0.4589,0.3515,1.6371,0.1241,0.7285,-0.0193,0.0,0.36,2.7347,0.1241,0.8047,0.0639,0.0,0.2833,0.0925,0.1251,0.7532,0.0272,0.8946,0.3412,0.6798,0.1261,0.7492,0.1199,0.3884,0.3475,0.4064,0.1245,0.7881,0.0339,0.3426,0.3089,-0.1147,0.1253,0.8278,0.0257,1.2915,0.2951
STGCN,8,5,1.6283,0.5943,0.9903,0.7658,45.51,5.69,0.2886,0.1263,0.7722,0.1951,0.3989,0.3789,1.312,0.1227,0.6542,0.1037,0.0,0.4639,0.3507,0.1227,0.7814,0.0498,0.0323,0.3754,0.32,0.1227,0.6743,-0.0408,0.1704,0.4468,-0.1638,0.134,0.7061,0.1488,1.405,0.4219,0.1603,0.1245,0.6425,0.059,0.5325,0.4717,0.4394,0.1227,0.6768,0.0515,0.0,0.4429,0.363,0.1245,0.8267,0.1893,0.2356,0.3363
STGCN,8,6,1.1647,0.7924,0.9589,0.7685,47.02,5.88,0.2547,0.1249,0.7084,0.0794,0.6723,0.408,-0.0207,0.1269,0.6914,0.0869,1.0259,0.4273,-0.1137,0.1286,0.7557,0.1149,1.1758,0.3783,0.0432,0.1222,0.7729,0.1476,0.0,0.3514,0.9001,0.1222,0.7895,0.1612,0.0,0.3512,0.111,0.126,0.7131,0.0846,0.8969,0.4077,0.0038,0.1271,0.6984,0.0985,0.9596,0.4175,2.0625,0.1222,0.6874,0.0701,0.0,0.4294
STGCN,8,7,0.9669,0.8569,0.9469,0.7695,46.52,5.82,1.0786,0.1077,0.9386,0.0599,0.0,0.1212,-0.0666,0.1122,0.7978,0.1501,1.1183,0.2471,-0.131,0.1106,0.8212,0.0612,1.9083,0.2265,-0.063,0.2384,0.8323,0.1536,24.615,0.2102,-0.0644,0.1077,0.7772,0.2089,0.0,0.2618,1.0493,0.1077,0.7924,0.0649,0.0,0.2505,-0.4779,0.1081,0.8117,0.0033,4.9366,0.2355,-0.1337,0.1077,0.8377,0.045,0.0,0.2032
STGCN,8,8,0.8184,0.8975,0.9293,0.771,48.02,6.0,0.0612,0.125,0.8589,-0.0012,0.7457,0.1638,-0.0782,0.125,0.8434,-0.0447,0.8422,0.164,0.3791,0.125,0.8521,0.0518,0.0,0.1632,0.3093,0.125,0.8573,0.0385,0.0,0.1527,-0.13,0.125,0.856,0.0673,0.0,0.153,0.3097,0.125,0.8299,0.0996,0.0,0.1783,-0.0291,0.125,0.9052,0.1615,0.0,0.0978,-0.1788,0.125,0.9056,0.0333,0.0,0.1142
STGCN,8,9,0.8002,0.902,0.9216,0.7717,47.64,5.95,1.7833,0.1243,0.8751,0.132,0.0,0.1295,0.3166,0.1243,0.8253,0.1495,0.0,0.1893,0.6115,0.1243,0.8636,0.2163,0.0,0.1576,0.7218,0.1243,0.8632,0.055,0.0,0.1515,-0.1466,0.1243,0.8489,0.03,0.0,0.1667,0.6564,0.1243,0.8442,0.0734,0.0,0.1719,-0.4383,0.1298,0.8689,0.1294,2.1442,0.1544,0.2857,0.1243,0.88,0.128,0.0,0.141
STGCN,8,10,0.8124,0.899,0.9029,0.7733,47.05,5.88,0.6357,0.1213,0.9047,0.082,0.0,0.0864,-0.13,0.1238,0.8466,0.0751,1.7814,0.1526,1.6956,0.1213,0.8695,0.0491,0.0,0.1444,0.484,0.1213,0.8704,-0.0278,0.0,0.1392,-0.5978,0.1336,0.8278,0.0476,12.1067,0.1683,-0.2674,0.1364,0.8547,0.163,5.0232,0.1435,0.0149,0.1213,0.9002,0.1184,0.0,0.1099,0.6896,0.1213,0.9146,0.0972,0.0,0.0986
STGCN,8,11,0.7867,0.9053,0.8985,0.7736,48.28,6.04,1.3656,0.1226,0.8743,0.1161,0.0,0.1138,1.1322,0.123,0.8178,0.1119,0.1629,0.1802,1.1889,0.1226,0.8537,0.1693,0.0,0.1478,0.7256,0.1226,0.8327,0.1003,0.0,0.1665,0.2864,0.1226,0.8568,0.1168,0.0,0.147,-0.4005,0.1238,0.8974,0.0496,1.715,0.1179,-0.3051,0.1403,0.9422,0.0965,18.9174,0.0738,0.1575,0.1226,0.9059,0.0074,0.0108,0.1049
STGCN,8,12,0.8075,0.9002,0.8858,0.6198,47.82,5.98,1.0354,0.1248,0.9006,0.0082,0.0,0.0797,0.3938,0.125,0.8977,0.0679,0.2632,0.0839,0.3104,0.1248,0.9061,0.009,0.0,0.0865,0.2552,0.1248,0.8841,0.0387,0.0,0.1014,-0.2967,0.1248,0.8765,-0.0133,0.0,0.1063,0.266,0.1248,0.8732,0.0805,0.0,0.1103,-0.3732,0.1248,0.8883,0.0192,0.2037,0.0856,-0.3659,0.1264,0.9137,0.0415,4.6949,0.0659
STGCN,8,13,0.736,0.9171,0.8993,0.7736,47.92,5.99,0.1839,0.1249,0.8817,0.1105,0.0,0.1066,0.1786,0.1249,0.8805,0.2302,0.0,0.1075,3.311,0.1249,0.8459,0.0574,0.0,0.1439,0.4987,0.1249,0.8814,0.0089,0.0,0.1119,0.0147,0.1258,0.9041,0.0907,0.9752,0.0788,2.3659,0.1249,0.8822,0.0774,0.0,0.1041,-0.1039,0.1249,0.894,0.1435,0.0,0.1036,2.1751,0.1249,0.9116,0.0846,0.0,0.0788
STGCN,8,14,0.7747,0.9082,0.8765,0.6204,46.95,5.87,0.6203,0.1249,0.9211,0.06,0.0,0.0445,-0.6165,0.125,0.8484,0.0371,0.2182,0.1287,-0.1741,0.1249,0.8703,-0.0151,1.3768,0.1152,0.2088,0.1249,0.8935,0.1643,0.0,0.0764,0.1542,0.1249,0.8751,0.1312,0.0,0.1061,0.3156,0.1249,0.9161,0.0516,0.0,0.0541,-0.6522,0.1258,0.9246,0.0957,1.5235,0.0534,4.2229,0.1249,0.9269,0.073,0.0,0.0593
STGCN,8,15,0.7804,0.9068,0.8838,0.6199,47.9,5.99,0.3173,0.1237,0.8601,0.0431,0.0,0.1279,-0.0472,0.1249,0.8549,0.0662,1.0656,0.1354,0.1334,0.1237,0.9176,0.077,0.0,0.0821,0.6194,0.1239,0.9135,0.1223,0.1974,0.0851,-0.3883,0.1326,0.8819,0.1666,3.9166,0.1065,0.1084,0.124,0.8796,0.098,0.2266,0.1056,0.0209,0.1237,0.8981,0.0868,0.0,0.0774,-0.1714,0.1237,0.8932,0.0784,0.0,0.0877
STGCN,8,16,0.7627,0.911,0.8793,0.6202,46.84,5.86,-0.4019,0.1244,0.9011,0.0733,0.9907,0.0849,-0.1539,0.1238,0.8431,0.074,0.116,0.1509,-0.3485,0.1321,0.9087,0.1514,4.8344,0.0906,1.0009,0.1237,0.891,0.0868,0.0,0.1089,0.1192,0.1237,0.8825,0.1323,0.0,0.1014,0.4833,0.1237,0.8406,0.097,0.0,0.1463,-0.5172,0.1248,0.8785,0.0408,1.8314,0.1191,-0.2579,0.1239,0.9116,0.009,2.4497,0.0986
STGCN,8,17,0.7095,0.923,0.8822,0.775,47.57,5.95,0.6653,0.1246,0.952,-0.0176,0.0,0.0242,-0.3685,0.125,0.8811,0.0686,0.5028,0.1078,1.4,0.1246,0.8915,0.0523,0.0,0.0895,-0.2709,0.1265,0.8651,0.0831,1.4953,0.1235,-0.5232,0.1246,0.8877,-0.0146,10.3995,0.1056,0.066,0.125,0.8915,0.0521,0.8244,0.0756,1.5442,0.1246,0.8744,0.0295,0.0,0.1073,0.307,0.1252,0.8935,0.1131,0.4733,0.0871
STGCN,8,18,0.7329,0.9178,0.866,0.6211,47.1,5.89,0.1888,0.125,0.8952,0.0554,0.0,0.0738,0.0514,0.125,0.8959,0.0675,0.0,0.0824,0.2769,0.125,0.8738,0.142,0.0,0.1034,2.429,0.125,0.8601,0.077,0.0,0.1125,0.296,0.125,0.8941,0.0607,0.0,0.0886,0.5369,0.125,0.945,0.1075,0.0,0.0208,0.498,0.125,0.9208,0.0972,0.0,0.0512,-0.0456,0.125,0.9268,-0.0477,3.1755,0.029
SpatialMamba,1,1,2.1382,0.3003,1.1405,0.7531,23.92,23.92,0.079,1.0,0.0,0.1302,0.956,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,1,2,1.6662,0.5751,0.9108,0.7726,24.11,24.11,0.9628,1.0,0.0,0.2032,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,1,3,1.3991,0.7004,0.743,0.7868,24.01,24.01,0.0656,1.0,0.0,0.0374,0.0139,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,1,4,1.2226,0.7713,0.7265,0.7882,24.0,24.0,0.4444,1.0,0.0,-0.0238,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,1,5,1.0464,0.8324,0.7242,0.7884,24.09,24.09,-0.3073,1.0,0.0,0.1323,17.2367,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,1,6,1.0104,0.8438,0.6959,0.7908,23.95,23.95,-0.1074,1.0,0.0,0.123,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,1,7,1.0156,0.8422,0.6304,0.7964,24.09,24.09,-0.0547,1.0,0.0,0.0747,1.1732,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,1,8,1.1318,0.804,0.6295,0.6372,24.5,24.5,0.7503,1.0,0.0,0.0792,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,1,9,1.127,0.8056,0.678,0.6339,24.6,24.6,-0.204,1.0,0.0,0.0713,2.255,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,1,10,1.2799,0.7493,0.6759,0.634,24.38,24.38,0.0448,1.0,0.0,0.0722,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,1,11,1.0625,0.8272,0.6361,0.6367,24.31,24.31,0.3454,1.0,0.0,0.0164,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,1,12,1.078,0.8221,0.6653,0.6348,24.04,24.04,-0.0475,1.0,0.0,0.1248,1.2099,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,1,13,0.9401,0.8647,0.6277,0.7966,24.15,24.15,-0.0539,1.0,0.0,0.1019,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,1,14,0.859,0.8871,0.6027,0.7988,24.49,24.49,0.2496,1.0,0.0,0.0751,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,1,15,0.9441,0.8636,0.6193,0.6379,24.24,24.24,0.6318,1.0,0.0,0.1345,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,1,16,0.8132,0.8988,0.606,0.7985,24.55,24.55,-0.3199,1.0,0.0,0.0801,2.5057,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,1,17,0.9462,0.863,0.61,0.6385,24.22,24.22,0.4302,1.0,0.0,0.0895,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,1,18,1.0006,0.8468,0.6471,0.636,23.98,23.98,-0.1874,1.0,0.0,0.0505,2.0058,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,2,1,2.2456,0.2283,1.0569,0.7602,43.51,21.75,0.2544,0.5001,0.6865,0.1864,0.8691,0.0803,-0.2908,0.4999,0.6701,0.1029,1.5398,0.0803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,2,2,1.6195,0.5986,0.7944,0.7825,44.06,22.03,0.277,0.494,0.6012,0.025,0.0,0.24,-0.0766,0.506,0.6332,0.0946,1.0555,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,2,3,1.4003,0.6999,0.6602,0.7939,43.57,21.79,0.0341,0.5038,0.688,0.1072,0.8832,0.1605,0.0154,0.4962,0.6147,0.0487,0.0,0.1605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,2,4,1.2397,0.7648,0.6427,0.7954,43.97,21.99,-0.0862,0.4997,0.6548,0.0914,2.3355,0.1556,-0.5471,0.5003,0.6449,0.0886,2.5043,0.1556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,2,5,0.9026,0.8753,0.6338,0.7961,43.62,21.81,9.6958,0.5,0.7089,0.0902,0.0,0.1262,0.5289,0.5,0.6223,0.0475,0.0,0.1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,2,6,1.0557,0.8294,0.606,0.6388,44.02,22.01,1.1619,0.4999,0.7056,0.115,0.0,0.0125,-0.3674,0.5001,0.6997,0.0084,3.8789,0.0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,2,7,1.0509,0.831,0.6089,0.6386,43.69,21.85,0.3895,0.5,0.7183,0.1023,0.0,0.0924,0.4103,0.5,0.6368,0.0791,0.0,0.0924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,2,8,0.9881,0.8506,0.6065,0.6388,43.74,21.87,-0.406,0.4999,0.7072,0.094,3.0156,0.1367,-0.3806,0.5001,0.6169,0.121,2.3667,0.1367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,2,9,1.069,0.8251,0.5959,0.6395,43.81,21.91,-0.2518,0.4999,0.6552,0.0676,0.1917,0.1104,-0.4124,0.5001,0.6793,0.07,0.2486,0.1104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,2,10,1.111,0.8111,0.6041,0.6389,43.89,21.95,0.9129,0.5,0.7088,0.0725,0.0,0.1572,0.4909,0.5,0.6036,0.0457,0.0,0.1572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,2,11,1.0269,0.8386,0.5957,0.6395,43.69,21.84,-0.2121,0.5,0.6805,0.0478,0.0,0.175,0.1055,0.5,0.6105,0.1147,0.0,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,2,12,1.1222,0.8073,0.5814,0.6405,43.36,21.68,-0.0081,0.4993,0.7033,0.0156,1.0134,0.127,-0.1454,0.5007,0.6255,0.0297,1.3144,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,2,13,1.0927,0.8173,0.6059,0.6388,42.88,21.44,0.1588,0.3899,0.7578,0.0115,0.8446,0.1048,-0.691,0.6101,0.607,0.0687,62.3149,0.1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,2,14,1.15,0.7976,0.6115,0.6384,42.94,21.47,0.2122,0.5,0.697,0.0407,0.0,0.0791,0.3693,0.5,0.6616,0.0798,0.0,0.0791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,2,15,1.0654,0.8263,0.6288,0.6372,42.86,21.43,-0.021,0.5022,0.6808,0.0542,1.1615,0.143,0.2308,0.4978,0.6315,0.108,0.0,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,2,16,1.1836,0.7856,0.6379,0.6366,42.87,21.43,0.5601,0.5001,0.625,0.1121,0.0114,0.1919,0.8156,0.4999,0.647,0.0521,0.0,0.1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,2,17,1.1814,0.7864,0.6013,0.6391,42.87,21.44,2.2665,0.4935,0.6553,0.0985,0.0,0.1282,-0.2363,0.5065,0.6653,0.0043,47.4647,0.1282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,2,18,1.0779,0.8222,0.592,0.6397,42.85,21.43,1.1922,0.4797,0.6543,0.0102,0.0,0.1634,-0.3668,0.5203,0.6395,0.0884,5.6109,0.1634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,4,1,2.2223,0.2442,0.9491,0.7693,80.55,20.14,0.1248,0.2517,0.7839,0.1441,0.9438,0.1834,-0.053,0.2544,0.7921,0.2009,1.0784,0.1647,2.0936,0.2463,0.7851,0.1332,0.1528,0.1649,0.4066,0.2475,0.8029,0.0695,0.7902,0.1506,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,4,2,1.7276,0.5432,0.7951,0.7824,80.6,20.15,0.1758,0.2505,0.7171,0.0268,0.8726,0.2752,0.427,0.2489,0.7494,-0.1029,0.5531,0.2481,-0.0195,0.2489,0.7905,-0.0028,1.0354,0.1997,0.61,0.2518,0.77,0.0987,0.5403,0.2183,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,4,3,1.4709,0.6689,0.72,0.7888,80.45,20.11,0.1493,0.2496,0.8089,0.0423,0.0,0.1535,0.3669,0.2496,0.7707,0.121,0.0,0.1872,0.5394,0.2497,0.7622,0.0048,0.3917,0.1688,-0.0018,0.2512,0.8498,0.0568,1.0024,0.1106,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,4,4,1.2392,0.765,0.6972,0.7907,80.46,20.11,0.0996,0.2485,0.8657,-0.0117,0.8668,0.0999,0.2891,0.2485,0.8012,0.1617,0.0,0.1579,-0.1418,0.251,0.7896,0.0597,1.1526,0.148,0.0896,0.252,0.7674,0.1236,0.7297,0.1545,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,4,5,1.0354,0.8359,0.6761,0.7925,80.41,20.1,0.2604,0.2497,0.8023,0.0528,0.0,0.1106,0.4342,0.2497,0.7925,0.0934,0.0,0.1246,-0.055,0.2509,0.8367,0.03,1.327,0.1183,0.4693,0.2497,0.8336,0.0395,0.0,0.1136,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,4,6,1.0821,0.8208,0.6334,0.6369,80.43,20.11,-0.0811,0.2505,0.871,0.0672,1.119,0.0364,1.6961,0.2498,0.8294,-0.1176,0.0,0.0478,1.7424,0.2498,0.8409,0.0204,0.0,0.0653,1.4986,0.2498,0.8574,0.1321,0.0,0.0113,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,4,7,1.0292,0.8379,0.6443,0.7952,80.45,20.11,0.2783,0.2499,0.8302,0.0632,0.0,0.1152,-0.1461,0.25,0.8305,0.0014,1.5093,0.1198,0.1541,0.2502,0.7606,0.0142,0.6053,0.1597,0.3002,0.2499,0.8196,0.0724,0.0,0.1227,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,4,8,0.9474,0.8626,0.6279,0.7966,80.43,20.11,0.6514,0.2493,0.8406,0.0816,0.0,0.0857,-0.0967,0.2511,0.8169,0.0826,1.2507,0.0709,-0.4614,0.2504,0.8431,0.0246,1.794,0.0994,-0.245,0.2493,0.8322,-0.0172,2.5266,0.0632,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,4,9,0.9352,0.8661,0.6376,0.7958,80.6,20.15,0.0516,0.2497,0.838,0.0904,0.7589,0.0635,-0.205,0.2515,0.8575,0.119,1.3137,0.0746,0.2109,0.2503,0.8347,0.1239,0.6712,0.083,0.003,0.2486,0.8278,-0.0004,0.9206,0.0427,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,4,10,0.7935,0.9036,0.6225,0.7971,80.49,20.12,-0.0286,0.2503,0.8326,0.0487,1.3721,0.0511,-0.3617,0.2509,0.8505,0.0614,1.5409,0.0617,0.1781,0.2494,0.8576,-0.0423,0.0,0.0523,-0.0003,0.2494,0.8426,-0.0007,1.0062,0.031,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,4,11,0.8958,0.8772,0.6208,0.6378,80.55,20.14,0.3688,0.2499,0.8379,0.0977,0.0,0.0656,-0.1708,0.2499,0.8436,0.094,0.0,0.0718,1.4968,0.2499,0.8138,0.0351,0.0,0.0782,-0.607,0.2503,0.871,0.0605,3.2737,0.0088,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,4,12,0.8938,0.8778,0.6,0.6392,80.47,20.12,0.302,0.2499,0.8145,0.0514,0.2995,0.0911,0.0861,0.2496,0.8629,0.0791,0.0,0.0383,-0.2813,0.2509,0.8764,0.0925,1.8797,0.0301,-0.0323,0.2496,0.8297,0.1559,0.0,0.0365,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,4,13,0.7731,0.9085,0.6096,0.7982,80.43,20.11,-0.1506,0.2521,0.8538,0.0342,6.6638,0.0494,-0.2179,0.2494,0.8283,0.0044,1.8213,0.0682,2.0017,0.2493,0.866,-0.0162,0.0,0.0295,0.2779,0.2493,0.8472,0.0623,0.0,0.0164,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,4,14,0.8844,0.8803,0.5804,0.6405,81.33,20.33,0.5602,0.2492,0.813,0.0639,0.0,0.0822,0.2028,0.2492,0.8352,0.049,0.0,0.1026,0.0829,0.2492,0.8527,0.0765,0.0,0.0714,-0.3249,0.2523,0.82,0.0579,2.5593,0.0838,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,4,15,0.9142,0.8721,0.5821,0.6404,80.49,20.12,0.2736,0.25,0.8243,0.1552,0.0,0.076,0.5668,0.25,0.8483,-0.0007,0.0,0.0815,0.2043,0.25,0.8219,0.0651,0.0,0.1113,0.3841,0.25,0.8351,0.0738,0.0,0.0493,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,4,16,0.8394,0.8922,0.5853,0.6402,80.58,20.14,0.2099,0.2503,0.8503,0.0525,0.4191,0.0622,-0.2578,0.2499,0.831,-0.0222,0.0,0.0559,0.1664,0.2499,0.8555,0.0804,0.0,0.0381,0.3487,0.2499,0.8407,0.0876,0.0,0.0467,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,4,17,0.8282,0.895,0.5713,0.6412,80.46,20.12,1.2246,0.25,0.8262,-0.0077,0.0,0.0727,-0.1222,0.2501,0.8301,0.007,1.2512,0.0625,0.0669,0.25,0.8235,-0.0597,0.0,0.0855,-0.6066,0.25,0.8893,0.0536,1.8756,-0.0103,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,4,18,0.8401,0.892,0.5644,0.6416,80.53,20.13,2.4533,0.2498,0.817,-0.0122,0.0,0.09,-0.0463,0.2498,0.8086,0.1422,0.0,0.086,0.1798,0.2498,0.874,0.0091,0.0,0.0515,0.2218,0.2507,0.8405,0.0933,0.6418,0.0646,,,,,,,,,,,,,,,,,,,,,,,,
SpatialMamba,8,1,2.2457,0.2282,0.9558,0.7688,156.83,19.6,0.187,0.1258,0.8475,0.144,0.9198,0.1698,-0.2527,0.1292,0.8561,0.2446,1.3338,0.1502,0.5469,0.1237,0.8796,0.0484,0.8477,0.1265,1.2134,0.1234,0.8872,0.0521,0.4583,0.1194,1.0572,0.123,0.8952,0.0947,0.0,0.1089,0.3841,0.1273,0.8357,0.2069,0.9495,0.1737,0.5174,0.1236,0.8671,0.1317,0.2397,0.1453,1.1805,0.1241,0.8506,0.1344,0.3849,0.1611
SpatialMamba,8,2,1.7445,0.5343,0.8104,0.7811,156.5,19.56,0.4128,0.1235,0.8616,0.0628,0.4537,0.1481,2.063,0.123,0.8646,0.0579,0.0,0.1371,0.218,0.1242,0.8785,0.1128,0.7681,0.1152,0.1121,0.1231,0.9014,0.0066,0.7406,0.114,-0.5477,0.1351,0.8591,0.0909,7.6633,0.1347,0.0949,0.124,0.8692,0.0718,0.8386,0.1328,0.0857,0.1242,0.8679,0.0842,0.8608,0.1351,0.3898,0.123,0.8928,0.1666,0.0,0.104
