round,arch,n_workers,rmse,r2,gamma,mean_uncertainty,worker_uncertainties,worker_angle_scales,alphas,betas,worker_losses,time_r2,time_rmse,elapsed
1,STGCN,4,1.5799230337142944,0.9517269799820265,0.7832694165922404,0.7850656871501122,"[0.7453345759263317, 0.7925610703080858, 0.858055925165079, 0.7443111772009523]","[1.476869686540496, 2.2341972696923627, 2.085250785046204, 1.6953861197531213]","[0.25004751616391624, 0.24998416127869458, 0.24998416127869458, 0.24998416127869458]","[0.9691613828989813, 0.8360401492066252, 0.8238802580085309, 0.9048082907423147]","[0.6037042140960693, 0.8572137355804443, 0.5578484535217285, 1.1149581670761108]",0.9517269799820265,1.5799230337142944,54.36553454399109
2,STGCN,4,1.577191710472107,0.9518937346559733,0.7840956515248831,0.7753452761778452,"[0.708380385962383, 0.812777349898605, 0.7984650468604388, 0.7817583219899543]","[1.5070098842249973, 1.946234066043124, 1.9462340660431252, 2.279793132339143]","[0.24995153000761636, 0.24996517315938924, 0.2501317668253781, 0.24995153000761636]","[0.9258803058896945, 0.8536222283625824, 0.8513971186500784, 0.8528167175402833]","[1.6413357257843018, 0.44748520851135254, 0.015870053321123123, 2.0320582389831543]",0.9518937346559733,1.577191710472107,54.49056935310364
3,STGCN,4,1.5747872591018677,0.9520403023059513,0.7833927309414057,0.7836149301011083,"[0.7090127811558902, 0.8063751562519014, 0.8501586018359663, 0.7689131811606754]","[2.0852507850462048, 2.3937827889561025, 1.4768696865404964, 1.6146534473839242]","[0.2499985748383812, 0.2500042754848563, 0.2499985748383812, 0.2499985748383812]","[0.8623258260008351, 0.8303213529326449, 0.8870522488196924, 0.9031142340677925]","[0.1910300999879837, 1.7426252365112305, 0.301405131816864, 1.4178484678268433]",0.9520403023059513,1.5747872591018677,55.28754734992981
4,STGCN,4,1.5723541975021362,0.9521883867122982,0.7815944266452224,0.8047714512326773,"[0.808066933495427, 0.8375720367993427, 0.7714969880479893, 0.8019498465879507]","[1.8164851283069159, 2.0852507850462056, 1.9462340660431248, 1.9462340660431237]","[0.24987760071287865, 0.25026247322439293, 0.2500295931694254, 0.24983033289330306]","[0.8978253746419881, 0.8411948517740762, 0.8735750144062127, 0.859456167334661]","[1.4996023178100586, -0.046812910586595535, 0.43443527817726135, 0.9293628334999084]",0.9521883867122982,1.5723541975021362,53.92237424850464
5,STGCN,4,1.5701491832733154,0.9523223953834705,0.784899826701993,0.7658843917412583,"[0.7502745666272703, 0.7378104906331252, 0.8287868589998433, 0.7466656507047944]","[2.085250785046205, 1.4768696865404969, 2.085250785046205, 1.8535562533744043]","[0.249970078404061, 0.249970078404061, 0.249970078404061, 0.25008976478781697]","[0.8488477865205853, 0.9628349468592975, 0.8440200681384187, 0.8514857890888604]","[0.3353063464164734, 1.182936668395996, 0.9811564087867737, 0.11153937131166458]",0.9523223953834705,1.5701491832733154,53.51334476470947
6,STGCN,4,1.5679858922958374,0.952453677434244,0.7834273017735993,0.7832082144282436,"[0.7665021985451697, 0.8176916424628992, 0.8130774569088094, 0.7355615597960964]","[2.0852507850462056, 2.3937827889561025, 2.5647672738815372, 1.9859531286154326]","[0.25000265181868836, 0.2500081576795913, 0.24999459525086015, 0.24999459525086015]","[0.8849925515561202, 0.8505047577977294, 0.8438562150645659, 0.896716200337088]","[0.524738609790802, 0.11971687525510788, 2.0233752727508545, 0.20448102056980133]",0.952453677434244,1.5679858922958374,54.76186013221741
7,STGCN,4,1.5657665729522705,0.9525881700510281,0.7822034379689796,0.797606612129651,"[0.7825491342828702, 0.8016601658463633, 0.8367438428403439, 0.7694733055490268]","[1.9462340660431254, 1.853556253374404, 1.9462340660431252, 1.8164851283069166]","[0.24996151795940322, 0.24996151795940322, 0.24996151795940322, 0.25011544612179043]","[0.876800741277518, 0.8658511262654892, 0.8484258386938534, 0.8758115239564024]","[4.507012367248535, 1.3979058265686035, 0.5215630531311035, 0.04711804911494255]",0.9525881700510281,1.5657665729522705,53.44677186012268
8,STGCN,4,1.5638116598129272,0.9527064888513568,0.7830740027075803,0.7873646740284669,"[0.7417814820597023, 0.80623291650035, 0.8157719233127332, 0.785672374241082]","[2.127806923516535, 1.946234066043124, 1.9462340660431239, 2.7479649363016483]","[0.2500068953367464, 0.2501626458049558, 0.2499152294291489, 0.2499152294291489]","[0.8751267913551775, 0.9086040940366802, 0.8770194994604451, 0.8268360599606746]","[0.15358176827430725, 0.11478233337402344, 1.3305206298828125, 0.7970285415649414]",0.9527064888513568,1.5638116598129272,53.822025299072266
9,STGCN,4,1.5619226694107056,0.952820679359545,0.7824608838324538,0.7945778372652484,"[0.7357700473509194, 0.7964178490867634, 0.8430559754642099, 0.8030674771591012]","[2.3937827889561025, 2.127806923516535, 1.9462340660431234, 2.234197269692363]","[0.2500297001825272, 0.24999009993915763, 0.24999009993915763, 0.24999009993915763]","[0.8472765434072648, 0.8746712333183793, 0.878843337253666, 0.865773874989911]","[0.6453765630722046, 0.5302846431732178, 0.7963696718215942, 1.176843285560608]",0.952820679359545,1.5619226694107056,55.00729060173035
10,STGCN,4,1.560138463973999,0.9529284015215062,0.7831244770405449,0.7867708583465307,"[0.7493483514011217, 0.7630108393011515, 0.8078682609905024, 0.8268559816933474]","[1.695386119753123, 2.0852507850462043, 1.946234066043125, 2.564767273881539]","[0.25, 0.25, 0.25, 0.25]","[0.9499303724387168, 0.8686147225043825, 0.8698034276316475, 0.8224998462584034]","[0.36175811290740967, 0.1435687094926834, 0.19508373737335205, 0.014417621307075024]",0.9529284015215062,1.560138463973999,54.07632493972778
