round,arch,n_workers,rmse,r2,gamma,mean_uncertainty,compression_ratio,compute_time,agg_time,elapsed
1,STGCN,8,1.5809205770492554,0.9516659998840419,0.78691142882238,0.7422184844425879,0.0999994716198199,247.18212604522705,0.19512295722961426,248.31021094322205
2,STGCN,8,1.5789402723312378,0.9517870098941146,0.7875380380618436,0.7348466110371332,0.0999994716198199,248.21183824539185,0.19096636772155762,249.39167261123657
3,STGCN,8,1.5770883560180664,0.9519000436542548,0.7907283533114104,0.6973134904539946,0.0999994716198199,249.32253456115723,0.1889636516571045,250.5074543952942
4,STGCN,8,1.5754841566085815,0.9519978449311726,0.7871605453707946,0.7392877015200633,0.0999994716198199,247.79911756515503,0.18173909187316895,248.97146797180176
5,STGCN,8,1.5743610858917236,0.952066261266608,0.7927769123048903,0.6732127964130539,0.0999994716198199,244.38334107398987,0.19696712493896484,245.57800793647766
6,STGCN,8,1.5730905532836914,0.9521435951852086,0.7879945697450481,0.7294756500582577,0.0999994716198199,248.59927439689636,0.18057608604431152,249.76824116706848
7,STGCN,8,1.5720943212509155,0.9522041887168813,0.7885672280328607,0.72273849373105,0.0999994716198199,248.53094339370728,0.18908047676086426,249.72265100479126
8,STGCN,8,1.5710713863372803,0.952266366875344,0.7890067450924867,0.7175677047942743,0.0999994716198199,247.65200662612915,0.17722439765930176,248.80568718910217
9,STGCN,8,1.5699623823165894,0.9523337297438073,0.7892411961188398,0.7148094574254136,0.0999994716198199,248.05993223190308,0.17682814598083496,249.20919251441956
10,STGCN,8,1.5692006349563599,0.9523799760586205,0.7902019024670192,0.7035070297997743,0.0999994716198199,247.37806296348572,0.18387103080749512,248.53864884376526
11,STGCN,8,1.5679636001586914,0.9524550289408918,0.7872789548478952,0.7378946488482921,0.0999994716198199,247.78054785728455,0.17856168746948242,248.94264245033264
12,STGCN,8,1.5671300888061523,0.9525055628957908,0.7880139722397038,0.7292473854152492,0.0999994716198199,245.1452715396881,0.17737770080566406,246.2944347858429
13,STGCN,8,1.5661818981170654,0.9525630137318741,0.7861115180059715,0.7516291999297479,0.0999994716198199,248.74736166000366,0.18011808395385742,249.8886160850525
14,STGCN,8,1.5652445554733276,0.9526197829128578,0.7885140870448597,0.72336368182518,0.0999994716198199,248.01557636260986,0.18056225776672363,249.16494464874268
15,STGCN,8,1.5644603967666626,0.9526672449934764,0.789273434133532,0.7144301866643287,0.0999994716198199,247.43634605407715,0.17336225509643555,248.56350827217102
16,STGCN,8,1.563265085220337,0.9527395446973583,0.7933561268603698,0.6663985075250617,0.0999994716198199,248.09432792663574,0.18022489547729492,249.2581548690796
17,STGCN,8,1.5626295804977417,0.9527779652575209,0.7922861739145353,0.6789861892407607,0.0999994716198199,245.97123789787292,0.17534852027893066,247.12671089172363
18,STGCN,8,1.5617330074310303,0.9528321347062847,0.7887881370989196,0.7201395635421224,0.0999994716198199,248.40447187423706,0.17848467826843262,249.5668706893921
19,STGCN,8,1.5607900619506836,0.952889080940541,0.7921857025642193,0.6801682051268323,0.0999994716198199,245.9483551979065,0.1864180564880371,247.10937976837158
20,STGCN,8,1.55988347530365,0.9529437874508984,0.790160298776955,0.7039964849769997,0.0999994716198199,247.12486100196838,0.18043804168701172,248.30723309516907
21,STGCN,8,1.5593458414077759,0.9529762206595579,0.7877571325001607,0.7322690294098739,0.0999994716198199,246.88406252861023,0.18150615692138672,248.05505323410034
22,STGCN,8,1.5584826469421387,0.9530282713708258,0.7915936240785036,0.6871338343705444,0.0999994716198199,248.02105927467346,0.18368244171142578,249.19952297210693
23,STGCN,8,1.557747721672058,0.9530725582960884,0.7902115511225011,0.7033935162058695,0.0999994716198199,248.18222999572754,0.18564271926879883,249.374098777771
24,STGCN,8,1.5569183826446533,0.9531225079751876,0.7895139777068904,0.7116002622718777,0.0999994716198199,248.67638444900513,0.1772751808166504,249.85972332954407
