round,arch,n_workers,rmse,r2,gamma,U,alphas,betas,consensus,stability,progress,worker_losses,elapsed
1,SpatialESN,2,2.516366958618164,0.030959612936185765,0.7552506760835648,1.11469792842865,"[0.49626753744541724, 0.5037324625545827]","[0.5811466736070191, 0.57818220557853]","[0.3279959273694377, 0.3279959273694377]","[0.18441149084670252, 0.05710136424902139]","[0.0, 0.79716619443922]","[0.9526565670967102, 0.36964815855026245]",11.954533576965332
2,SpatialESN,2,2.4953997135162354,0.047041108655022756,0.7614484900206328,1.0417824703454972,"[0.5, 0.5]","[0.5816085730595447, 0.6939785991042817]","[0.20839408033618045, 0.20839408033618045]","[0.10777276801394649, 0.11459766213327331]","[0.0, 0.0]","[1.6011533737182617, 0.7402981519699097]",12.034716606140137
3,SpatialESN,2,2.4974615573883057,0.04546566357933479,0.7626371038854122,1.02779877781868,"[0.49758057131676053, 0.5024194286832395]","[0.6490466879181599, 0.6499265028064835]","[0.15633569715716958, 0.15633569715716958]","[0.02600823360352148, 0.0433849438164215]","[0.0, 1.4268537492717612]","[2.3271842002868652, -0.19617417454719543]",12.245526790618896
4,SpatialESN,2,2.459482192993164,0.07427638188639263,0.7630169276028871,1.023330263495445,"[0.5002223004491407, 0.49977769955085927]","[0.7661867178570035, 0.6161840036887088]","[0.07960601691771914, 0.07960601691771914]","[0.0734260728527317, -0.022610599130151704]","[0.15212796252936248, 0.07378457035621627]","[0.5197867751121521, 0.2177383005619049]",12.218265771865845
5,SpatialESN,2,2.461028575897217,0.07311198475317959,0.7649591334462166,1.0004807829856872,"[0.5, 0.5]","[0.6858228947375321, 0.624631191485377]","[0.1475977283809169, 0.1475977283809169]","[0.17853115364707633, 0.11094070752659813]","[0.0, 0.0]","[0.5865552425384521, 1.053640604019165]",12.045178890228271
6,SpatialESN,2,2.462632894515991,0.07190318871328805,0.7678630796909331,0.9663167095184326,"[0.5017832993065302, 0.4982167006934698]","[0.6157060343883214, 0.6965054192320991]","[0.14992660771420233, 0.14992660771420233]","[0.09507305460775167, 0.029076595389487484]","[0.5004382769700515, 0.0]","[0.6163389682769775, 1.0542142391204834]",11.993859052658081
7,SpatialESN,2,2.3992388248443604,0.11907095567992854,0.7712438443124294,0.9265430080890655,"[0.48351502715026096, 0.516484972849739]","[0.6477024769124623, 0.6699373786049434]","[0.13272927228404607, 0.13272927228404607]","[0.0631842347823634, 0.12017190176196617]","[0.7716232891556395, 4.541281806989745]","[0.13794824481010437, -0.3116258382797241]",12.124300956726074
8,SpatialESN,2,2.3852880001068115,0.1292859422849092,0.7727438852101564,0.9088954681158066,"[0.49999916817695544, 0.5000008318230447]","[0.6794710540598558, 0.7382976835202993]","[0.00014528353059450235, 0.00014528353059450235]","[0.11661177290041454, 0.07220417973235826]","[0.8521099551342178, 1.6933661365385682]","[0.1477205604314804, -0.3322735130786896]",13.156678438186646
9,SpatialESN,2,2.370574951171875,0.13999429850786116,0.7767030233070255,0.8623173728585243,"[0.5005455568600414, 0.49945444313995857]","[0.6491619220747405, 0.6699830961735519]","[0.13064348262531186, 0.13064348262531186]","[0.02563269664543979, 0.16933516744222013]","[0.6516585954807728, 0.0]","[0.3604249954223633, 0.8532927632331848]",12.229404926300049
10,SpatialESN,2,2.3852009773254395,0.12934939598183115,0.7765242288663983,0.8644208368659019,"[0.5039393722538668, 0.49606062774613335]","[0.6383560010306067, 0.7182252498307675]","[0.08998964058058607, 0.08998964058058607]","[0.07494262277000763, -0.011992671389801604]","[2.336548874873477, 1.1368302837230357]","[-0.07867106795310974, -0.188506081700325]",12.098205089569092
