round,arch,n_workers,rmse,r2,gamma,U,alphas,betas,consensus,stability,progress,worker_losses,elapsed
1,GAT,2,2.552791118621826,0.0027029780395418923,0.7526623079210519,1.145149318575859,"[0.5024564262775116, 0.4975435737224883]","[0.5582836022231373, 0.6107887821149566]","[0.3220554432645169, 0.3220554432645169]","[0.03209456810751636, 0.06852878915285636]","[0.9506167937536526, 0.0]","[0.20800739526748657, 0.5740379095077515]",13.552584886550903
2,GAT,2,2.4845776557922363,0.05528878157319661,0.7631233010202646,1.0220788115262986,"[0.5003087749622981, 0.4996912250377019]","[0.5918895072271432, 0.5770590432713568]","[0.3172117064451933, 0.3172117064451933]","[0.006669356350949756, -0.06284694919369363]","[0.5838113192310243, 4.283375679984016]","[1.176881194114685, -0.4974553883075714]",13.307284116744995
3,GAT,2,2.304827928543091,0.18703665257401014,0.7696914184883237,0.944806841313839,"[0.5012695953861084, 0.4987304046138917]","[0.5647019962703693, 0.5679374211416901]","[0.3585855763735184, 0.3585855763735184]","[0.010169547016749115, -0.10410490048614687]","[1.3926201994013996, 0.0]","[-0.26395440101623535, 1.6208467483520508]",13.83081579208374
4,GAT,2,1.8926187753677368,0.45182369910269415,0.7736982626706361,0.8976674979925156,"[0.5066067261798323, 0.4933932738201677]","[0.48315944726229726, 0.6413280889826352]","[0.42064088033757624, 0.42064088033757624]","[0.06653658284842442, -0.007473293669034565]","[0.944277779017038, 0.0]","[0.052615195512771606, 1.9427201747894287]",13.657250165939331
5,GAT,2,1.3261797428131104,0.7308473204419169,0.7835948295474052,0.7812372994422913,"[0.4914077752895463, 0.5085922247104536]","[0.5122607205107962, 0.598015236317328]","[0.3993233544413576, 0.3993233544413576]","[0.16426666199034087, 0.12564812352210938]","[0.0, 0.6850586931769824]","[0.6298187971115112, 0.2936762869358063]",13.404794454574585
6,GAT,2,1.118027687072754,0.8087070147906272,0.7899185160368681,0.7068409878015518,"[0.5001298969480049, 0.499870103051995]","[0.635647370736893, 0.5570080426013903]","[0.3006121964843418, 0.3006121964843418]","[0.03128900543721964, 0.25918182695203773]","[0.05524194371952478, 0.0]","[-0.14555394649505615, 0.40507131814956665]",13.430863380432129
7,GAT,2,1.0320606231689453,0.8369937107983498,0.7961015420794486,0.6340995049476623,"[0.5, 0.5]","[0.5823298618313942, 0.6132787767505589]","[0.28707977481066416, 0.28707977481066416]","[0.16796709154744952, 0.11036091978773298]","[0.0, 0.0]","[0.2612963318824768, 0.4106651544570923]",13.318440198898315
8,GAT,2,0.8904767036437988,0.8786501988236595,0.7947696122169494,0.6497692680358886,"[0.4894400249147335, 0.5105599750852666]","[0.6508034744351887, 0.629748802001889]","[0.1808556336597853, 0.1808556336597853]","[0.03193627550267758, 0.13485582480330655]","[0.0, 1.7321512901934517]","[-0.23297815024852753, -0.22729766368865967]",13.34164571762085
9,GAT,2,1.012015461921692,0.8432641845788962,0.6364498158383369,0.6404438847303391,"[0.5, 0.5]","[0.6915049963159845, 0.6010691414668217]","[0.17855395281138012, 0.17855395281138012]","[0.08996772769144565, 0.05262073303063591]","[0.0, 0.0]","[0.16929440200328827, 0.24148301780223846]",13.343781232833862
10,GAT,2,0.8127763867378235,0.8989035026814325,0.7963876294627786,0.6307337710261345,"[0.5, 0.5]","[0.6426803938308616, 0.6836761760897492]","[0.12314201085840555, 0.12314201085840555]","[0.09370958131960959, 0.03916301370163699]","[0.0, 0.0]","[0.6995363831520081, 0.0812261700630188]",13.420281410217285
11,GAT,2,0.7758322358131409,0.9078851664311387,0.7975949738651514,0.6165297192335129,"[0.4999796101249154, 0.5000203898750846]","[0.6547288563761814, 0.649823858358812]","[0.14911126917654977, 0.14911126917654977]","[-0.001741105816159503, 0.0013529738470116467]","[1.7851792077685926, 0.4043225221626814]","[-0.3092913329601288, -0.1491684913635254]",13.312143564224243
12,GAT,2,0.8902705907821655,0.8787063746493079,0.6421635709226132,0.5564180746674537,"[0.5, 0.5]","[0.6266685727139097, 0.6716632740624786]","[0.16058433758412052, 0.16058433758412052]","[0.09231113835950597, 0.013678469929629008]","[0.0, 0.0]","[1.025946855545044, -0.008411627262830734]",13.336064338684082
13,GAT,2,0.7873196601867676,0.9051371589955362,0.802881158529222,0.5543393114209175,"[0.5, 0.5]","[0.7000212684942376, 0.6410214940449579]","[0.10642109639754754, 0.10642109639754754]","[0.038510998442015165, 0.20886913570438945]","[0.0, 0.0]","[0.2470715343952179, 0.04464447498321533]",13.318925380706787
14,GAT,2,0.826225996017456,0.8955299875072811,0.6412180098807811,0.5703233841061592,"[0.5001809129343944, 0.4998190870656056]","[0.668137038438279, 0.622460671199499]","[0.17073000139874162, 0.17073000139874162]","[0.02473997673639738, -0.010279213258847524]","[0.17132727160457845, 0.0]","[0.0943225547671318, 0.1576976329088211]",13.395855903625488
15,GAT,2,0.8430263996124268,0.8912382307091733,0.6410102165615559,0.5733791682124139,"[0.5, 0.5]","[0.6607033928198832, 0.678466930748001]","[0.10382098560814668, 0.10382098560814668]","[0.07198652517598574, 0.06070868472411963]","[0.0, 0.0]","[0.3817453384399414, -0.09344632178544998]",13.25701904296875
16,GAT,2,0.8322779536247253,0.8939939363423048,0.6402284930610658,0.5848751020431519,"[0.49998390778563445, 0.5000160922143656]","[0.691076135739172, 0.6762320283056998]","[0.06557997974810624, 0.06557997974810624]","[0.09913086440826153, 0.004376928396258983]","[0.0, 0.22428619591391144]","[0.06780914217233658, -0.2854209542274475]",13.339370489120483
17,GAT,2,0.8011221289634705,0.9017819357973129,0.801075658558309,0.5755804875493049,"[0.5, 0.5]","[0.6521524380805619, 0.623932704543178]","[0.1871801971164905, 0.1871801971164905]","[0.018740606099821974, 0.018502912302193378]","[0.0, 0.0]","[0.29151105880737305, -0.24972154200077057]",13.337660312652588
18,GAT,2,0.692353367805481,0.9266416495744368,0.8006713101461529,0.580337527692318,"[0.45403278176247647, 0.5459672182375236]","[0.6701478547388701, 0.6940246023382962]","[0.07041461371445672, 0.07041461371445672]","[0.040337060055890266, 0.07994463916147318]","[0.0, 32.75549283171416]","[0.2622029185295105, -0.4626525640487671]",13.311453104019165
