round,arch,n_workers,rmse,r2,gamma,U,alphas,betas,consensus,stability,progress,worker_losses,elapsed
1,SpatialTransformer,2,2.496683120727539,0.046060596474715165,0.7560469695627688,1.1053297698497773,"[0.5068187465880478, 0.49318125341195224]","[0.5759705014814591, 0.6122395753045469]","[0.29660108333049867, 0.29660108333049867]","[0.13247286811225986, -0.0007336084261218534]","[0.6942117414787486, 0.3267879881074689]","[0.5866614580154419, 0.5225867629051208]",13.42542052268982
2,SpatialTransformer,2,2.304527521133423,0.18724855927727369,0.7719065299689769,0.9187467062473297,"[0.5, 0.5]","[0.5865966442490954, 0.6353398625141703]","[0.25781141209988967, 0.25781141209988967]","[0.15560516298352628, 0.07319712971570826]","[0.0, 0.0]","[1.1736924648284912, 0.9376842975616455]",12.674437761306763
3,SpatialTransformer,2,1.6173774003982544,0.5996713422306338,0.7796989820957184,0.8270707988739013,"[0.5009302958108205, 0.4990697041891795]","[0.49082793628550847, 0.52516249776224]","[0.48675820231255007, 0.48675820231255007]","[0.10005040476994025, 0.04178398378006085]","[0.07641006979457403, 0.0]","[0.5265993475914001, 0.13093571364879608]",12.527403831481934
4,SpatialTransformer,2,1.207366943359375,0.7769138793224019,0.7854965305775403,0.7588643461465836,"[0.5, 0.5]","[0.5824134712164188, 0.5924716464742016]","[0.3100196792053927, 0.3100196792053927]","[0.13426063797575655, 0.120502915795974]","[0.0, 0.0]","[1.5525312423706055, 0.644177258014679]",12.78606653213501
5,SpatialTransformer,2,0.9359688758850098,0.8659345901358209,0.7875109674543143,0.7351650887727738,"[0.5114524378082829, 0.48854756219171713]","[0.5691150510366676, 0.6407353202216804]","[0.2777293597643508, 0.2777293597643508]","[0.018087068308882723, 0.03356330546066427]","[9.121032897070076, 0.0]","[-0.226643368601799, 0.032638438045978546]",12.475013256072998
6,SpatialTransformer,2,1.003531813621521,0.8458809801684469,0.6305088940882683,0.7278103810548782,"[0.5, 0.5]","[0.6461992909286024, 0.6378912267816673]","[0.17567433740140107, 0.17567433740140107]","[0.0888329357310179, 0.16100013877589045]","[0.0, 0.0]","[0.11931800842285156, 0.23567530512809753]",12.658629655838013
7,SpatialTransformer,2,0.8514857888221741,0.8890445168471123,0.7894920419186354,0.7118583303689956,"[0.5, 0.5]","[0.6882965023598534, 0.6615583093541803]","[0.09008862501237613, 0.09008862501237613]","[0.05625614672669385, 0.1343942109504479]","[0.0, 0.0]","[0.5484758019447327, 2.295060157775879]",12.592673540115356
8,SpatialTransformer,2,0.877587080001831,0.8821378325761442,0.6360544645428657,0.6462578743696212,"[0.5187023477382773, 0.48129765226172266]","[0.7199554117595506, 0.6133000475925324]","[0.12978367793165282, 0.12978367793165282]","[0.16654191659657133, 0.14438141504430832]","[3.462702705841418, 0.0]","[-0.2085948884487152, 0.30807122588157654]",12.349984884262085
9,SpatialTransformer,2,0.8526927828788757,0.8887297391847564,0.7933822541967034,0.6660911270976067,"[0.4980336445755298, 0.5019663554244702]","[0.674932669702486, 0.6618026876211096]","[0.10684838377447958, 0.10684838377447958]","[0.0348599399393647, 0.08021867597457685]","[0.0, 0.9176590588687404]","[0.20252254605293274, 0.061097919940948486]",12.481237649917603
10,SpatialTransformer,2,0.9949790835380554,0.8484967949967352,0.6372893271446228,0.6280981302261353,"[0.5044495087271668, 0.49555049127283324]","[0.6782510450637342, 0.6387815907942601]","[0.13528931251689943, 0.13528931251689943]","[0.12842405768189313, 0.09606286640632672]","[1.024410179337011, 0.0]","[-0.007777633145451546, 0.11847443878650665]",12.485160112380981
11,SpatialTransformer,2,0.7802267670631409,0.9068386785963769,0.798310371863842,0.6081132721900939,"[0.4998455221742955, 0.5001544778257044]","[0.7423879825744233, 0.668369744512005]","[0.01314138194783565, 0.01314138194783565]","[0.09207486162981138, 0.06605008139098077]","[0.0, 0.7118996614880595]","[1.3936189413070679, -0.23266878724098206]",12.455502033233643
12,SpatialTransformer,2,0.8474125862121582,0.8901035288475203,0.6407574358654022,0.5770965313911438,"[0.5, 0.5]","[0.6619696035943075, 0.6517770142980434]","[0.13720754618837336, 0.13720754618837336]","[0.06393216346757792, 0.058085846936318075]","[0.0, 0.0]","[-0.16349175572395325, -0.15956871211528778]",13.09888219833374
13,SpatialTransformer,2,0.8412874937057495,0.8916864386061509,0.6376438845181465,0.6228840512037277,"[0.4991420062422326, 0.5008579937577674]","[0.7064712045470273, 0.659401317935555]","[0.07068189367867006, 0.07068189367867006]","[0.028810921407526034, 0.11719922271638669]","[1.8939898019817574, 0.8798937270130326]","[-0.35364583134651184, 0.039548952132463455]",12.749680757522583
14,SpatialTransformer,2,0.825421154499054,0.8957334098472417,0.6413859134471416,0.5678542140126228,"[0.5, 0.5]","[0.6605331585429076, 0.6259314640867097]","[0.17455080990141597, 0.17455080990141597]","[0.11446128269324145, 0.05634450610857212]","[0.0, 0.0]","[0.054228100925683975, 0.6469950675964355]",12.372939825057983
