round,rmse,r2,gamma,U,alphas,betas,consensus,stability,progress,worker_losses,elapsed
1,2.039369583129883,-0.025396660823760575,0.7458588649511337,1.225189824104309,[1.0],[0.0],[0.0],[0.12475967488963088],[0.0],[0.1492781788110733],6.68450403213501
2,2.0042214393615723,0.00964369013276456,0.745347860366106,1.2312016427516936,[1.0],[0.0],[0.0],[0.014389179087737364],[0.4570061843177159],[0.603082001209259],6.683668851852417
3,1.8727545738220215,0.135307431183598,0.7503315025031566,1.1725705587863922,[1.0],[0.0],[0.0],[0.2281786052205089],[0.5142219264901375],[0.3543894588947296],6.654114723205566
4,1.4288809299468994,0.4966244977809029,0.7512759583413601,1.1614593136310578,[1.0],[0.0],[0.0],[0.06508661211913772],[0.9193316302670118],[0.05769551917910576],6.770001649856567
5,0.7906538248062134,0.8458751107818265,0.769232903856039,0.9502011311054229,[1.0],[0.0],[0.0],[0.020478727836111016],[0.6599003120456702],[0.11970705538988113],6.7483298778533936
6,0.7323258519172668,0.8677764587330314,0.7853945316880941,0.7600643330812454,[1.0],[0.0],[0.0],[0.1833947495267996],[0.0],[0.37599170207977295],6.798814058303833
7,0.8152848482131958,0.8361227079288076,0.6225950445556641,0.8441905212402344,[1.0],[0.0],[0.0],[0.061992299462191064],[0.9616593558738686],[0.018127761781215668],6.87068247795105
8,0.7479456067085266,0.8620759301027339,0.6257265636491777,0.798138769865036,[1.0],[0.0],[0.0],[0.0837300239518299],[0.061433902960179504],[0.8137913346290588],6.767110586166382
9,0.8190439939498901,0.8346080093370112,0.6237197828245162,0.8276502525806427,[1.0],[0.0],[0.0],[0.20063226912887155],[0.32527682991004253],[0.17608971893787384],6.864080429077148
10,0.8615416288375854,0.8169993701640758,0.6279609404659272,0.7652802872657776,[1.0],[0.0],[0.0],[0.16225911341397858],[0.0],[1.2994184494018555],6.750433444976807
11,0.7793251872062683,0.8502601205062494,0.6246618564844132,0.8137962281703949,[1.0],[0.0],[0.0],[0.042450058893290336],[0.0],[1.0576145648956299],6.847424745559692
12,0.7912254333496094,0.8456521739948265,0.6274941988039018,0.7721441352367401,[1.0],[0.0],[0.0],[0.07277888275447617],[0.0],[0.365205317735672],6.7787065505981445
13,0.7413747906684875,0.8644886584013274,0.7822968222379685,0.7965079736709595,[1.0],[0.0],[0.0],[0.16247860965366787],[0.0],[0.29470881819725037],7.145228862762451
14,0.7667157053947449,0.8550665225164276,0.6286122257614135,0.7557025623321533,[1.0],[0.0],[0.0],[0.048175711047866054],[0.0],[1.066517949104309],6.787375450134277
15,0.8444637060165405,0.8241825544553012,0.6266955682373048,0.7838887023925781,[1.0],[0.0],[0.0],[0.195265172118597],[0.0],[0.9240584373474121],6.998789310455322
16,0.7431382536888123,0.8638432383453081,0.7877913092166186,0.7318669503927231,[1.0],[0.0],[0.0],[0.10802419959031576],[2.489690466507622],[-0.34986695647239685],6.823631763458252
17,0.7214056849479675,0.8716903988130705,0.7926613834530115,0.6745719593763352,[1.0],[0.0],[0.0],[0.11921643369015],[0.0],[0.05070409178733826],6.750694513320923
18,0.6613848805427551,0.8921528715093333,0.794189263126254,0.6565969043970108,[1.0],[0.0],[0.0],[0.07477255165308055],[0.8793583060557982],[0.23616473376750946],6.877964973449707
