Model,Target,ND R2,ND RMSE,ND KGE,ND Time(s),Dist R2,Dist RMSE,Dist Time(s),Delta R2,Speedup
STGCN,Weather soil temp,0.9166,0.6119,0.9429,249.2,0.9338,0.6578,111.7,0.0172,2.23
STGCN,SMAP L1 temp,0.9524,0.3171,0.8151,255.1,0.9338,0.6578,111.7,-0.0186,2.28
STGCN,Soil moisture,0.6803,0.0098,-0.0557,244.1,0.9338,0.6578,111.7,0.2535,2.19
SpatialMamba,Weather soil temp,0.9207,0.5959,0.9086,2989.3,0.9085,0.7731,362.4,-0.0122,8.25
SpatialMamba,SMAP L1 temp,0.9484,0.3315,0.8461,3584.6,0.9085,0.7731,362.4,-0.0399,9.89
SpatialMamba,Soil moisture,0.2147,0.0154,-0.8985,1070.4,0.9085,0.7731,362.4,0.6938,2.95
