arch,n_workers,best_rmse,best_r2,cent_rmse,cent_r2,ideal_time_s,total_time_s,cent_time_s
STGCN,1,0.6788,0.9295,0.5737,0.9496,168.62,168.62,81.87
STGCN,2,0.7734,0.9085,0.5737,0.9496,131.28,262.57,81.87
STGCN,4,0.6578,0.9338,0.5737,0.9496,111.72,446.89,81.87
STGCN,8,0.7095,0.923,0.5737,0.9496,106.27,850.18,81.87
SpatialMamba,1,0.8132,0.8988,0.7544,0.9129,435.64,435.64,825.31
SpatialMamba,2,0.9026,0.8753,0.7544,0.9129,391.11,782.21,825.31
SpatialMamba,4,0.7731,0.9085,0.7544,0.9129,362.43,1449.72,825.31
SpatialMamba,8,0.9209,0.8702,0.7544,0.9129,353.45,2827.6,825.31
