model,target,status,rmse,r2,elapsed_s
GRU,soil_temperature_0_to_7cm,ok,3.9280617834826836,0.8199225178998917,227.4789752960205
GRU,soil_moisture_0_to_7cm,ok,0.04578638651979528,0.6386427423486101,227.4789752960205
LSTM,soil_temperature_0_to_7cm,ok,3.829995468277164,0.8288017544655036,301.8152365684509
LSTM,soil_moisture_0_to_7cm,ok,0.046737790636213944,0.6234692937100113,301.8152365684509
BiGRU,soil_temperature_0_to_7cm,ok,4.141768493826207,0.7997952257991545,385.9515414237976
BiGRU,soil_moisture_0_to_7cm,ok,0.04550316150177049,0.6430994763208869,385.9515414237976
BiLSTM,soil_temperature_0_to_7cm,ok,4.077702787739989,0.8059409389922847,475.6467983722687
BiLSTM,soil_moisture_0_to_7cm,ok,0.04909953391830566,0.5844543116780838,475.6467983722687
PatchTST,soil_temperature_0_to_7cm,ok,3.8558646402344805,0.8264812746630739,327.6208164691925
PatchTST,soil_moisture_0_to_7cm,ok,0.048030272205046805,0.6023562715637214,327.6208164691925
TCN,soil_temperature_0_to_7cm,ok,4.2979354362916045,0.7844130026088934,414.4193410873413
TCN,soil_moisture_0_to_7cm,ok,0.048003245610167646,0.6028036532590472,414.4193410873413
TFT,soil_temperature_0_to_7cm,ok,4.1033224359808615,0.8034947856192227,338.0292258262634
TFT,soil_moisture_0_to_7cm,ok,0.05110657092311943,0.5497875238859176,338.0292258262634
Informer,soil_temperature_0_to_7cm,ok,4.0881482141350975,0.8049454638637487,647.3447794914246
Informer,soil_moisture_0_to_7cm,ok,0.047022247004421494,0.61887205055071,647.3447794914246
S4D,soil_temperature_0_to_7cm,ok,3.8083102106790663,0.8307348993716569,453.9715359210968
S4D,soil_moisture_0_to_7cm,ok,0.060467316561803236,0.36976076998550655,453.9715359210968
